batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,update_emissions_mg,updated
368,368000,incremental,0.028381803099876854,0.015025906735751297,0.02708332109203274,0.12953367875647667,0.0485952252563042,0.012176165803108811,0.034377024995386224,0.19170984455958548,0.06151066330127592,0.0,False
369,369000,incremental,0.03313273125342091,0.0165,0.031293627611627975,0.14,0.05610784363038751,0.014000000000000002,0.040407570296724094,0.225,0.06706133398335411,0.0,False
370,370000,incremental,0.02491838966888537,0.016292134831460678,0.023333637815677166,0.1348314606741573,0.049829669608255196,0.016292134831460678,0.032598164221786144,0.20786516853932585,0.04814036732236893,0.0,False
371,371000,incremental,0.029741816531480912,0.015789473684210527,0.024149854692432197,0.13450292397660818,0.03889778119850584,0.011695906432748537,0.026998559629091465,0.19883040935672514,0.045609647776830436,0.0,False
372,372000,incremental,0.03817700220926028,0.019354838709677424,0.03207202113426511,0.15483870967741936,0.06894154471953333,0.017741935483870968,0.04403353832398573,0.25806451612903225,0.06558294618815941,0.0,False
373,373000,incremental,0.03833547935452207,0.026865671641791045,0.03540467835403396,0.208955223880597,0.05786602386576653,0.019029850746268655,0.040202784439523756,0.26119402985074625,0.06749488378658704,0.0,False
374,374000,incremental,0.02983849455211684,0.018823529411764708,0.02901817020063453,0.14705882352941177,0.05069419085672955,0.015882352941176472,0.03561441880823931,0.21764705882352942,0.06085524132578402,0.0,False
375,375000,incremental,0.03549061407805136,0.020118343195266272,0.0303651378210468,0.1893491124260355,0.058044449131886416,0.01686390532544379,0.03876336149490829,0.2781065088757396,0.06543206593928377,0.0,False
376,376000,incremental,0.022713196255763596,0.011855670103092783,0.01885950395649705,0.1134020618556701,0.035504883377347626,0.010051546391752576,0.0234956635334774,0.17010309278350516,0.04227995552123413,0.0,False
377,377000,incremental,0.02586563527548831,0.016867469879518072,0.023434358165173596,0.13855421686746988,0.04145380335148494,0.014457831325301207,0.028760893287919982,0.21686746987951808,0.05392445485184864,0.0,False
378,378000,incremental,0.02291850786660475,0.013903743315508022,0.021326515937076143,0.11229946524064172,0.04353645236312742,0.014438502673796792,0.030057325717687954,0.20855614973262032,0.050460888973703336,0.0,False
379,379000,incremental,0.02707418530399897,0.01677018633540373,0.02770495934673747,0.12422360248447205,0.04534607459443409,0.015217391304347827,0.034923483595641715,0.19875776397515527,0.06247673070284266,0.0,False
380,380000,incremental,0.03406233386496544,0.021578947368421055,0.029926683499956763,0.16842105263157894,0.056894282617966835,0.018157894736842106,0.03973542352144074,0.24736842105263157,0.0636221202574877,700.7742244607261,True
381,381000,incremental,0.025431010338131083,0.013368983957219254,0.02452376683284436,0.10695187165775401,0.042278977186097924,0.010962566844919785,0.03011917998264358,0.17647058823529413,0.053545698358491184,0.0,False
382,382000,incremental,0.026340855124954262,0.01764705882352941,0.023148728378768923,0.1437908496732026,0.040075021122501636,0.014705882352941176,0.027996277034058475,0.19607843137254902,0.0465744729873911,0.0,False
383,383000,incremental,0.018724930317859507,0.010967741935483872,0.02012296312692497,0.09032258064516129,0.04141668140220022,0.011935483870967743,0.02901767074844872,0.1935483870967742,0.049152810858593333,0.0,False
384,384000,incremental,0.02522001795437682,0.016167664670658683,0.02295219985363819,0.1497005988023952,0.03979775902396179,0.011976047904191617,0.026808735957050463,0.18562874251497005,0.05326574010784537,0.0,False
385,385000,incremental,0.024828277268854518,0.016666666666666666,0.02124521344518413,0.11827956989247312,0.039943911336101486,0.012096774193548387,0.026200790137030222,0.1881720430107527,0.03948296546731081,0.0,False
386,386000,incremental,0.024124292131466104,0.01584699453551913,0.026972300427154552,0.12568306010928962,0.04623723482199172,0.014207650273224046,0.03417429181854074,0.22950819672131148,0.0647393933200663,0.0,False
387,387000,incremental,0.021741043730412957,0.015584415584415584,0.018630273679770527,0.14935064935064934,0.04651967130158717,0.01590909090909091,0.027793628220366743,0.2532467532467532,0.04120344708856429,0.0,False
388,388000,incremental,0.021403145556249836,0.015277777777777779,0.022269145896530278,0.11805555555555555,0.034073843465042976,0.011805555555555555,0.026760749936695655,0.16666666666666666,0.05268837957660197,0.0,False
389,389000,incremental,0.026709601018993286,0.016574585635359115,0.026523192522956693,0.13812154696132597,0.039369064023760156,0.012983425414364643,0.030856067686374226,0.19889502762430938,0.061472050291474546,0.0,False
390,390000,incremental,0.03656721008599621,0.021965317919075147,0.026240294559375408,0.1791907514450867,0.054225940244726364,0.01647398843930636,0.03267849521356497,0.23699421965317918,0.0446610595351625,0.0,False
391,391000,incremental,0.02941081902846609,0.01823529411764706,0.030146101368255948,0.14705882352941177,0.05138335170560234,0.017058823529411765,0.03905636290790358,0.23529411764705882,0.06619678882905071,0.0,False
392,392000,incremental,0.034985207942197186,0.017222222222222226,0.026751175300850135,0.14444444444444443,0.05810237383519291,0.015833333333333335,0.03655064652182215,0.22777777777777777,0.05355971676147114,0.0,False
393,393000,incremental,0.03603907454680344,0.022758620689655173,0.033975850912897704,0.19310344827586207,0.06230429287137359,0.02,0.0431177894996067,0.296551724137931,0.07357035542420404,0.0,False
394,394000,incremental,0.026189511226392154,0.017123287671232876,0.023671960587869217,0.13013698630136986,0.045204343426155855,0.014726027397260274,0.030269827645760607,0.2191780821917808,0.04730419534402952,0.0,False
395,395000,incremental,0.02269537762628215,0.01256281407035176,0.019063627114898226,0.12060301507537688,0.04758588354693882,0.013316582914572866,0.028902250813274827,0.24120603015075376,0.047653843020381594,0.0,False
396,396000,incremental,0.04013749533152344,0.023841059602649012,0.04194540287248426,0.1986754966887417,0.05060341278419587,0.01622516556291391,0.045361122413115504,0.2251655629139073,0.09732208556711867,0.0,False
397,397000,incremental,0.047834031048316766,0.027142857142857146,0.044867712514945625,0.22857142857142856,0.07022753104550339,0.022142857142857148,0.05444111392600212,0.32857142857142857,0.09839348151848153,0.0,False
398,398000,incremental,0.02363603618863086,0.014516129032258065,0.022094965991670636,0.12365591397849462,0.034886725463513686,0.011021505376344087,0.026191543829113394,0.1774193548387097,0.051509840219517634,0.0,False
399,399000,incremental,0.026486007303860762,0.016666666666666666,0.02317867945729182,0.1419753086419753,0.04757153744736192,0.016049382716049384,0.03108703298106269,0.21604938271604937,0.047263948768936734,0.0,False
400,400000,incremental,0.02681406714580449,0.014117647058823528,0.02578186823138883,0.12352941176470589,0.048868646553325075,0.014117647058823532,0.03497117436708932,0.22941176470588234,0.056325707998672855,627.6783905786708,True
401,401000,incremental,0.03522766527771371,0.022085889570552148,0.036267733082660264,0.18404907975460122,0.060315496938034875,0.018404907975460124,0.045223775701026175,0.25766871165644173,0.08322173045814518,0.0,False
402,402000,incremental,0.020928258019533078,0.013407821229050279,0.016800515521095603,0.12849162011173185,0.03323854498065803,0.011452513966480445,0.02151663301184189,0.16759776536312848,0.03505543126718559,0.0,False
403,403000,incremental,0.0289001239001239,0.013513513513513514,0.026854214924826224,0.11891891891891893,0.04389899238583449,0.011081081081081082,0.03278681183584964,0.17297297297297298,0.05579467244327926,0.0,False
404,404000,incremental,0.03638443602078512,0.017391304347826087,0.028734400003336463,0.14130434782608695,0.04932514114899025,0.011956521739130435,0.033184833345835676,0.19021739130434784,0.05291647989373962,0.0,False
405,405000,incremental,0.01961521073862846,0.014556962025316455,0.020115238972201778,0.10126582278481013,0.040774295312131455,0.014873417721518989,0.028087691004899926,0.20253164556962025,0.04767616866462734,0.0,False
406,406000,incremental,0.029997286027745373,0.0192090395480226,0.03219698099241591,0.13559322033898305,0.04517184832959149,0.015536723163841809,0.03762011119467555,0.1864406779661017,0.07061245119898109,0.0,False
407,407000,incremental,0.02435381338164008,0.014371257485029942,0.022837843894466536,0.12574850299401197,0.05204388453725693,0.014670658682634731,0.03250878822522002,0.23353293413173654,0.056543367594794156,0.0,False
408,408000,incremental,0.025162511317952385,0.013872832369942198,0.026694566674054687,0.12716763005780346,0.04203037044357579,0.011560693641618497,0.03278472841632598,0.2023121387283237,0.06637699107007793,0.0,False
409,409000,incremental,0.019611802983983437,0.013714285714285714,0.018601373903747057,0.13142857142857142,0.03762835627196529,0.012285714285714287,0.025652593961076223,0.21142857142857144,0.04870354482119188,0.0,False
410,410000,incremental,0.02522700697303872,0.013227513227513227,0.020575507115161408,0.13227513227513227,0.04744430798606092,0.0126984126984127,0.029682408598992047,0.21164021164021163,0.044337163656294816,0.0,False
411,411000,incremental,0.031031424945037512,0.017277486910994767,0.02925362898084745,0.1518324607329843,0.04686442120997095,0.014397905759162303,0.03626618499060447,0.2094240837696335,0.0671116055908496,0.0,False
412,412000,incremental,0.031974070122916615,0.017857142857142856,0.030427181523856567,0.14795918367346939,0.0563235408573646,0.015051020408163265,0.03973347915075554,0.2193877551020408,0.0654988262678049,0.0,False
413,413000,incremental,0.026749204979584575,0.019736842105263157,0.02572733921330163,0.125,0.03647651263350495,0.013815789473684208,0.028409507988819555,0.18421052631578946,0.047758898918871216,0.0,False
414,414000,incremental,0.02393510835043093,0.020833333333333332,0.02937923574400644,0.16666666666666666,0.04018766776831293,0.01958333333333333,0.035357308560137954,0.24166666666666667,0.07355953804966964,0.0,False
415,415000,incremental,0.03474207891929411,0.02468354430379747,0.03702283875386232,0.20253164556962025,0.054636592975200564,0.020253164556962026,0.04365473199811545,0.2721518987341772,0.08836796050026446,0.0,False
416,416000,incremental,0.02912354404711216,0.019078947368421056,0.0334161253410921,0.16447368421052633,0.05296374753127849,0.01644736842105263,0.04149339654331576,0.23026315789473684,0.07729988596759821,0.0,False
417,417000,incremental,0.030984504263192783,0.0180327868852459,0.024686620481274214,0.14754098360655737,0.044005847336515067,0.013934426229508195,0.029858530853519485,0.20218579234972678,0.048366273981028086,0.0,False
