batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,update_emissions_mg,updated
107,107000,incremental,0.04902489669556876,0.10810810810810811,0.10628512318331552,0.5945945945945946,0.09783822471587211,0.10405405405405407,0.11461298572866872,0.7297297297297297,0.2117077603919709,0.0,False
108,108000,incremental,0.051148460566286434,0.09090909090909091,0.10123147014403577,0.45454545454545453,0.08982777847277552,0.0893939393939394,0.11640728870127602,0.5454545454545454,0.19553872053872057,0.0,False
109,109000,incremental,0.05194908176173585,0.06756756756756757,0.0783198421951771,0.2972972972972973,0.09700860318728821,0.07567567567567567,0.10105183933608798,0.5675675675675675,0.14919933669933672,0.0,False
110,110000,incremental,0.02982944198423454,0.07187500000000001,0.06942337388682984,0.46875,0.06676961609348735,0.08125,0.08763408805449888,0.625,0.17413341866466864,0.0,False
111,111000,incremental,0.05092635917949305,0.07500000000000002,0.08648274370671301,0.42857142857142855,0.0834586565226684,0.08214285714285716,0.10500659972443492,0.6785714285714286,0.18970635456979995,0.0,False
112,112000,incremental,0.046010940432133655,0.10833333333333334,0.1093828181790255,0.5,0.09104878027739689,0.10208333333333332,0.11867430216623365,0.75,0.18927607659225307,0.0,False
113,113000,incremental,0.07235809739795794,0.11162790697674416,0.12338343692550859,0.5581395348837209,0.10371771090759428,0.08604651162790697,0.12170946471154566,0.627906976744186,0.21969482815566047,0.0,False
114,114000,incremental,0.06160983587148036,0.09069767441860464,0.10032685113108714,0.5116279069767442,0.13282889255178612,0.09767441860465116,0.12867596802617853,0.7209302325581395,0.21905680338972872,0.0,False
115,115000,incremental,0.06379452531341372,0.0976190476190476,0.1123205150275185,0.5,0.10728117139398623,0.09166666666666667,0.12479559193942588,0.6428571428571429,0.23631279434850866,0.0,False
116,116000,incremental,0.04442720243230719,0.07894736842105265,0.09465597420740665,0.5526315789473685,0.09108516754064881,0.07499999999999998,0.10407925792554229,0.7105263157894737,0.22166904732694204,0.0,False
117,117000,incremental,0.07737702561332008,0.1125,0.11450805091286302,0.5,0.1254831976973623,0.08854166666666667,0.12317554438322263,0.625,0.1993195461945462,0.0,False
118,118000,incremental,0.08347935961094656,0.13030303030303034,0.14557630135545183,0.45454545454545453,0.13706585250099373,0.10606060606060606,0.15234316438521883,0.6363636363636364,0.2573909521277942,0.0,False
119,119000,incremental,0.04701827095279381,0.07906976744186048,0.08561897480089173,0.4186046511627907,0.09144758709504561,0.07674418604651162,0.10083936482441404,0.6976744186046512,0.18631854681426285,0.0,False
120,120000,incremental,0.043638125888315685,0.1,0.1125974323185677,0.5428571428571428,0.09342121252759861,0.08857142857142858,0.1152268723539549,0.7428571428571429,0.252406295851674,354.6897195936131,True
121,121000,incremental,0.10246627767460104,0.16666666666666666,0.18725746307502514,0.625,0.12937329817205678,0.12083333333333335,0.17510432545814517,0.7083333333333334,0.35320308346624135,0.0,False
122,122000,incremental,0.0594054217778031,0.09591836734693876,0.10049943904798411,0.5714285714285714,0.12258447184479135,0.09897959183673469,0.12193164128555847,0.7142857142857143,0.23119607150219396,0.0,False
123,123000,incremental,0.061112319613758896,0.08837209302325581,0.11466720643550166,0.46511627906976744,0.09016527342703584,0.07325581395348837,0.1138505491672061,0.6046511627906976,0.26429588563291495,0.0,False
124,124000,incremental,0.056678212111792164,0.07209302325581396,0.08376683836984564,0.6046511627906976,0.10029435447107501,0.06976744186046512,0.0961503343191453,0.7209302325581395,0.2212087653948119,0.0,False
125,125000,incremental,0.05570412287302399,0.11176470588235293,0.1268373102772799,0.5882352941176471,0.08831826131496763,0.09852941176470588,0.12385297002514803,0.7352941176470589,0.3014398561282098,0.0,False
126,126000,incremental,0.045244268398444316,0.07692307692307694,0.07137238583144007,0.5128205128205128,0.07756912348547616,0.07307692307692308,0.08466148353186001,0.6923076923076923,0.14517889517889512,0.0,False
127,127000,incremental,0.07901052941629051,0.11463414634146339,0.13897565030476852,0.4878048780487805,0.12399188304072147,0.10121951219512194,0.1438864397037577,0.6829268292682927,0.2792897118361515,0.0,False
128,128000,incremental,0.04608489914764742,0.0810810810810811,0.11557995508951058,0.4594594594594595,0.06721183113399479,0.0608108108108108,0.10428299854113655,0.5675675675675675,0.3161511911511911,0.0,False
129,129000,incremental,0.045395252994165865,0.0870967741935484,0.07412922375574003,0.41935483870967744,0.09191840422548257,0.09193548387096774,0.09678367752686366,0.7096774193548387,0.11829237071172556,0.0,False
130,130000,incremental,0.0914388494705135,0.10303030303030304,0.1409195483305329,0.45454545454545453,0.14003582556191765,0.0893939393939394,0.1512260753549945,0.6363636363636364,0.259191253076702,0.0,False
131,131000,incremental,0.04193603055575666,0.06222222222222223,0.06344462861990668,0.35555555555555557,0.09100740483719548,0.07222222222222222,0.08341255969138082,0.5777777777777777,0.13260095521189433,0.0,False
132,132000,incremental,0.0869761856535788,0.12653061224489798,0.1463848315340651,0.5714285714285714,0.14447904202663048,0.10102040816326531,0.15314923106304384,0.7346938775510204,0.31874871160585444,0.0,False
133,133000,incremental,0.12838114812090853,0.125,0.159466726496967,0.6590909090909091,0.17262414324434475,0.09886363636363636,0.16539153669735798,0.7727272727272727,0.30277306757569916,0.0,False
134,134000,incremental,0.047788432550040644,0.12285714285714285,0.12482516148013423,0.5142857142857142,0.0781398024458372,0.09714285714285716,0.11528466554412192,0.6285714285714286,0.24443413729128016,0.0,False
135,135000,incremental,0.07179413727499238,0.10909090909090911,0.12297645948044651,0.5151515151515151,0.11389457739132358,0.09999999999999999,0.13908313001638328,0.6363636363636364,0.2183360534296363,0.0,False
136,136000,incremental,0.05463931672500903,0.12333333333333334,0.13765624895795664,0.5,0.07671669752593475,0.10833333333333335,0.13852996763478542,0.6,0.2547529921059333,0.0,False
137,137000,incremental,0.06768281291684686,0.11428571428571428,0.1424576178528313,0.4857142857142857,0.10555390115449706,0.1,0.14442782810930063,0.7428571428571429,0.30229320804508775,0.0,False
138,138000,incremental,0.04339487442689446,0.08604651162790697,0.08644725374264696,0.37209302325581395,0.07396495515754681,0.07093023255813954,0.08964208035554612,0.4883720930232558,0.15008266687113256,0.0,False
139,139000,incremental,0.03780727560336653,0.07749999999999999,0.07603473389276034,0.425,0.06781207010099317,0.06875,0.07924905497451065,0.6,0.160130772005772,0.0,False
