update_every,pct_recall,pct_precision,pct_ndcg,pct_energy
270,0.0,0.0,0.0,0.0
180,6.3647030948962495,6.1808466308407475,5.65799170207198,-14.295384092584735
134,9.41203795222629,9.206729093712992,9.166581812560317,-13.395651997196737
67,16.354723297178754,15.68226315636939,16.237368886129683,-8.730698300219546
33,22.23055550473096,21.10088794614211,21.64351222852218,-7.820835269864351
16,27.961638346693224,26.223068752631306,27.03490295409829,-1.3417034385030724
9,32.0369734461031,30.275024214666562,30.985947303793704,8.889624893383491
5,35.922877364537534,33.86667426752725,34.97584831452832,26.24448373808207
2,41.648148480529805,39.20143218421907,40.102098177653914,92.75699586124226
1,45.36411104202173,42.65307484652558,43.311929576147165,211.75992743445957
