batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,id_resolution_emissions_mg,expand_embeddings_emissions_mg,scoring_emissions_mg,update_prep_emissions_mg,history_update_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,incremental,0.024417465580966677,0.01589403973509934,0.024336005773727187,0.11920529801324503,0.049101650914742966,0.01456953642384106,0.032979355375297004,0.24503311258278146,0.057206989873372915,11.723217885898881,122.44974550112943,16.716087909668158,11.654997958014235,11.657922028501876,174.20197128321257,0.0,False
2,2000,incremental,0.017214088400964066,0.009941520467836258,0.01883618621721926,0.09941520467836257,0.03701029336977797,0.01023391812865497,0.02557461657941732,0.18128654970760233,0.0547418411195501,11.697488566464216,120.63398431486462,16.625824817365704,11.657407243905253,11.659508739957081,172.27421368255688,0.0,False
3,3000,incremental,0.029598256681590013,0.01568627450980392,0.026102272022590637,0.12254901960784313,0.0408716985201991,0.010539215686274509,0.03036311384046502,0.1568627450980392,0.049684928361398956,11.747516675205002,119.06341502127937,16.433318580814774,11.65752781246798,11.660240007901175,170.5620180976683,0.0,False
4,4000,incremental,0.035153458935463164,0.018867924528301886,0.027361584959342312,0.16352201257861634,0.04459830595892654,0.013836477987421384,0.031112484246558422,0.23270440251572327,0.050418059352576546,11.747440825614829,118.04773074620034,16.52878149161364,11.657061838724665,11.658100143570197,169.63911504572368,0.0,False
5,5000,incremental,0.025061537813406514,0.013259668508287295,0.022154346451054432,0.1270718232044199,0.04357201751173152,0.011602209944751382,0.02904864070692716,0.20994475138121546,0.049992921115682515,11.699523472875505,117.16534687174446,16.38525671110859,11.655942981385424,11.659664396987315,168.5657344341013,0.0,False
6,6000,incremental,0.020438165131259758,0.012422360248447204,0.020645817180634237,0.11180124223602485,0.03702998111013033,0.011180124223602485,0.026528028993080224,0.18012422360248448,0.05066057384745729,11.740296571606134,117.23534854030365,16.491450602114202,11.654330760720727,11.6581495615037,168.77957603624844,0.0,False
7,7000,incremental,0.02872295096107888,0.014457831325301203,0.023355984083829075,0.12650602409638553,0.0477056917811691,0.01355421686746988,0.030998982415958814,0.21686746987951808,0.04374457376667456,11.689075415552333,117.4951326050294,16.409050625536096,11.655329952233894,11.660355818371437,168.90894441672316,0.0,False
8,8000,incremental,0.018847803771403087,0.014838709677419357,0.016407971756738922,0.13548387096774195,0.04193774698231404,0.015161290322580645,0.025206351798469966,0.24516129032258063,0.04077310022556203,11.742532058516518,116.66639492936837,16.418037204540912,11.657897843832037,11.661877580091979,168.14673961634983,0.0,False
9,9000,incremental,0.022671630140572163,0.011167512690355331,0.020320436551617842,0.10152284263959391,0.03557600932033205,0.009644670050761422,0.025051100338415535,0.15736040609137056,0.04337573185284991,11.720501255623816,117.45000248824253,16.490753608679015,11.654254067525313,11.655682181157871,168.97119360122855,0.0,False
10,10000,incremental,0.03522909251130667,0.01839080459770115,0.033685867315873634,0.14942528735632185,0.059900639120239844,0.016666666666666666,0.04285783637612444,0.2471264367816092,0.0694621880794081,11.731569970026106,117.79632994289535,16.218894222274923,11.658593881393609,11.659835676486578,169.06522369307658,0.0,False
11,11000,incremental,0.02284461407864618,0.016901408450704227,0.021663363371330274,0.14788732394366197,0.04029819922589329,0.01267605633802817,0.026411914835019857,0.19718309859154928,0.05121373766666576,11.720385137671107,117.11147167910553,16.2602039156458,11.655431533464082,11.660283627033026,168.40777589291957,0.0,False
12,12000,incremental,0.0241368213555678,0.014093959731543627,0.022916315838021218,0.12080536912751678,0.048356995344032476,0.015100671140939598,0.03352789104415271,0.21476510067114093,0.04886940916742276,11.720192022982804,116.21858001409358,16.40918663747132,11.65620293012374,11.653495193184558,167.657656797856,0.0,False
13,13000,incremental,0.014979177414410577,0.009326424870466322,0.013822998502193939,0.07772020725388601,0.03911124731692427,0.01139896373056995,0.023319407996804365,0.16580310880829016,0.031973367880063525,11.732229484202882,117.89558085209626,16.594272208974964,11.657217736221401,11.660330833459295,169.5396311149548,0.0,False
14,14000,incremental,0.02739500946514521,0.01435897435897436,0.01998142234707402,0.13333333333333333,0.0394421859353986,0.011282051282051283,0.025014210605797907,0.1641025641025641,0.038220869544398954,11.716673537852385,117.3401306699311,16.417788305485466,11.654666681253437,11.658863798395119,168.7881229929175,0.0,False
15,15000,incremental,0.02317479766387801,0.0125,0.02168517062502985,0.10119047619047619,0.03740895410292613,0.01130952380952381,0.02751022683684513,0.18452380952380953,0.046588628652704286,11.693527704890322,118.23925680641555,16.71624098305031,11.656533560383021,11.660655183982731,169.96621423872193,0.0,False
16,16000,incremental,0.021131239602577182,0.0089171974522293,0.01761312632831418,0.08280254777070063,0.04105885975312727,0.010191082802547772,0.02610361444371352,0.17834394904458598,0.039174798637982164,11.720677269562701,117.82975730182527,16.33241770717005,11.657003870415693,11.658467269619592,169.19832341859328,0.0,False
17,17000,incremental,0.028880715244351606,0.016233766233766232,0.024002902477199026,0.14935064935064934,0.03778833423600421,0.012337662337662338,0.027981550293441883,0.18181818181818182,0.051655796351174496,11.721681676449355,116.79165602101983,16.344619697585948,11.652481463274214,11.659643350214484,168.17008220854382,0.0,False
18,18000,incremental,0.022979413155344557,0.015168539325842698,0.02403539565666914,0.12921348314606743,0.0411323933803236,0.012359550561797755,0.029449717401930295,0.1797752808988764,0.05929222551739684,11.73946501316662,117.56509934715596,16.6745658136732,11.66349009641297,11.70700102987466,169.34962130028342,0.0,False
19,19000,incremental,0.030157280024607394,0.019021739130434784,0.027597155005596896,0.15217391304347827,0.044432841419734005,0.013043478260869565,0.031145630207871134,0.20652173913043478,0.060742274268447034,11.718547323508535,119.51017151476916,16.6079655678315,11.655260457279613,11.660005320021476,171.1519501834103,0.0,False
20,20000,incremental,0.038069489154624554,0.017777777777777778,0.03250607831029051,0.15555555555555556,0.061332248107038675,0.013888888888888888,0.04043032405091362,0.2222222222222222,0.06217045185827435,11.705828008335383,116.92651238071235,16.384374524636495,11.69436425794675,11.661170205103968,168.3722493767349,670.4325488511793,True
21,21000,incremental,0.01789608180805964,0.012222222222222223,0.015719429278621598,0.1111111111111111,0.02937339006073021,0.01,0.020229333915220207,0.15555555555555556,0.03552074468741135,11.781879665590141,128.68812688057037,18.581829527324587,11.661391071422257,11.664107635305822,182.37733478021318,0.0,False
22,22000,incremental,0.030218813645779937,0.015730337078651686,0.022529484110698068,0.1348314606741573,0.059808403207279606,0.01601123595505618,0.03447214970800019,0.2303370786516854,0.04668448369617187,11.804232671063646,129.54800346037885,16.357537001326047,11.653872430673202,11.662348879587503,181.02599444302928,0.0,False
23,23000,incremental,0.035967902366671176,0.017333333333333333,0.026528965624831313,0.14666666666666667,0.04279003075423504,0.011333333333333334,0.028818222899712385,0.18,0.044537037037037035,11.739207796290785,122.0986642176871,16.553346161800494,11.660172223810008,11.662955636888157,173.71434603647657,0.0,False
24,24000,incremental,0.03221356944229317,0.019205298013245033,0.033430493370376936,0.17218543046357615,0.04603952569855516,0.0152317880794702,0.038666403114488504,0.23178807947019867,0.0763415079055905,11.751928424176898,122.37115383607541,16.864094459403088,11.662480884128481,11.663629839260038,174.31328744304392,0.0,False
25,25000,incremental,0.03413786562065914,0.019871794871794874,0.03323790883750725,0.17307692307692307,0.04971932831750645,0.015064102564102564,0.03852896170596675,0.23076923076923078,0.07227265517706694,11.757035631223927,120.60257439679839,16.75102407363606,11.660785122873108,11.662271610848354,172.43369083537985,0.0,False
26,26000,incremental,0.017378948212281548,0.007777777777777778,0.01269174548033432,0.07222222222222222,0.03258423675090342,0.008611111111111111,0.01976325902676248,0.15,0.02535908762624449,11.748719893087642,119.84207078144776,16.657002298505788,11.656535503828426,11.662688690954916,171.56701716782456,0.0,False
27,27000,incremental,0.02692514635560081,0.019230769230769232,0.026712233287029978,0.15384615384615385,0.040174988354252046,0.016923076923076926,0.03207334016951766,0.25384615384615383,0.06364031267877422,11.72685017840347,119.42628634305663,16.41300536577451,11.655349524668061,11.65879966467335,170.88029107657601,0.0,False
28,28000,incremental,0.020166603269370066,0.011111111111111112,0.018922954428870258,0.09595959595959595,0.027045559271133092,0.007828282828282828,0.021473308018971436,0.12626262626262627,0.04374799272890088,11.69947705486566,119.48826036384513,16.76946801779707,11.657531159295353,11.66035857782903,171.27509517363222,0.0,False
29,29000,incremental,0.012289727890750909,0.006951871657754011,0.01074870203148549,0.06951871657754011,0.02798229366435119,0.008823529411764706,0.017500068400295884,0.13903743315508021,0.0246062007762973,11.710259357336668,120.05021121355188,17.009821057793058,11.656989245293833,11.660244639846717,172.08752551382216,0.0,False
30,30000,incremental,0.02659098148228583,0.015217391304347825,0.022242153239938677,0.14130434782608695,0.04820384929080581,0.012771739130434783,0.030485599058794187,0.20652173913043478,0.045582889332889336,11.7239025347873,118.8453674537994,17.029725138565517,11.66044517353186,11.663189453567716,170.9226297542518,0.0,False
31,31000,incremental,0.025412292976631213,0.017499999999999998,0.023105503102104758,0.14375,0.04090016141946289,0.015,0.02897986931274855,0.2125,0.05252529816674554,11.744091499143495,119.82486224446954,16.66627370085043,11.654388421547361,11.659691076995777,171.54930694300663,0.0,False
32,32000,incremental,0.024579009339426004,0.017777777777777778,0.02502381856624178,0.12777777777777777,0.03930969917428251,0.013333333333333332,0.0298245736848964,0.18333333333333332,0.05265359867075554,11.689558935500804,118.57572216472482,16.624657774201232,11.65508037511212,11.658923675932076,170.20394292547107,0.0,False
33,33000,incremental,0.02995258467126434,0.014594594594594595,0.028093226735242945,0.12432432432432433,0.06289086436889692,0.015675675675675675,0.040822766717991905,0.23243243243243245,0.06283615648940725,11.687403306786214,119.78454138345494,16.68323986704981,11.660093334874693,11.659353035622239,171.4746309277879,0.0,False
34,34000,incremental,0.02958059346512847,0.017171717171717175,0.023795666481208906,0.14646464646464646,0.04882431270884772,0.012878787878787878,0.030302384132313807,0.2222222222222222,0.048829084836801324,11.74422825783554,119.43531409697692,16.441237717807095,11.654889089550077,11.657675100459029,170.93334426262865,0.0,False
