batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,batch_emissions_mg,update_emissions_mg,updated
433,433000,incremental,0.025881510106737983,0.017318435754189947,0.02325371917503253,0.1340782122905028,0.039369730553551925,0.014245810055865924,0.028051001614477933,0.2011173184357542,0.04692897255486977,149.5194656647575,0.0,False
434,434000,incremental,0.02743381579946677,0.01644736842105263,0.020039873200711794,0.13815789473684212,0.04230558923812957,0.013157894736842105,0.025974085838601692,0.21052631578947367,0.03824406251258744,165.11078963012127,0.0,False
435,435000,incremental,0.02388810257649807,0.014534883720930232,0.020216941978130957,0.11046511627906977,0.050770798751192406,0.015116279069767442,0.030648718446671802,0.20930232558139536,0.041099298653163224,151.69149778060387,0.0,False
436,436000,incremental,0.041172455311797966,0.023076923076923078,0.032934082220553426,0.16568047337278108,0.05733128781962183,0.01715976331360947,0.03835315175694968,0.23668639053254437,0.059772420023029134,152.69632240236254,0.0,False
437,437000,incremental,0.04343078789884717,0.02290502793296089,0.03927597299254741,0.2011173184357542,0.05424636896582487,0.015363128491620111,0.042640149702307395,0.24581005586592178,0.07718947889334626,159.7157532184368,0.0,False
438,438000,incremental,0.024792041500426982,0.015425531914893618,0.023431871874444853,0.13297872340425532,0.03583144535897977,0.010372340425531914,0.02683979442963992,0.1702127659574468,0.04896966158617235,157.99443482965302,0.0,False
439,439000,incremental,0.015138281368959132,0.01206896551724138,0.017002019087991826,0.09770114942528736,0.030217886157943515,0.01120689655172414,0.02287066382688653,0.16666666666666666,0.04495196340437613,149.575898744328,0.0,False
440,440000,incremental,0.02817115727409845,0.013000000000000003,0.025370259188444665,0.125,0.05458782394076511,0.0125,0.035325254485285396,0.22,0.05853019589629497,152.53641224952096,596.3171859394156,True
441,441000,incremental,0.024460226376922932,0.016463414634146342,0.02443994457038989,0.1402439024390244,0.05045438741318167,0.01554878048780488,0.03344280164040249,0.2621951219512195,0.06876278173968463,164.89650380498156,0.0,False
442,442000,incremental,0.033500474853960696,0.019753086419753086,0.028722867811417727,0.1728395061728395,0.04997363898507688,0.014506172839506174,0.034229137081523905,0.2222222222222222,0.06158199905476594,153.05830411348197,0.0,False
443,443000,incremental,0.027631708737967026,0.015476190476190477,0.027723710021504745,0.13095238095238096,0.05411985709406652,0.015476190476190477,0.037225033649418836,0.25,0.06296567953951301,165.1447706047665,0.0,False
444,444000,incremental,0.022579986844890133,0.018120805369127517,0.023040278763501634,0.14093959731543623,0.04386207326378107,0.014765100671140941,0.02845949970853906,0.2214765100671141,0.04973978500818944,159.89856329810814,0.0,False
445,445000,incremental,0.02657318367385639,0.014361702127659576,0.023200204029332403,0.1276595744680851,0.045799632694538336,0.012765957446808512,0.03134580691174727,0.19148936170212766,0.05226250031084198,163.8313471378494,0.0,False
446,446000,incremental,0.02920685567853056,0.018831168831168834,0.028685158851805996,0.15584415584415584,0.04322988783901184,0.014935064935064937,0.03318695141377942,0.22077922077922077,0.061518369128135526,166.71931151164554,0.0,False
447,447000,incremental,0.03551063532174977,0.020731707317073172,0.028795656962237386,0.16463414634146342,0.0582422594426806,0.016463414634146342,0.03619770329949003,0.25609756097560976,0.05774942802735787,157.83726438931,0.0,False
448,448000,incremental,0.030769995641277102,0.015217391304347825,0.025820745015605807,0.14130434782608695,0.04395111831921601,0.012771739130434783,0.03163006659483032,0.20108695652173914,0.05355373704158871,163.29599026264353,0.0,False
449,449000,incremental,0.028042185225731507,0.019858156028368795,0.023747090106956796,0.14184397163120568,0.04902520559929441,0.01773049645390071,0.031483187442466,0.24113475177304963,0.04188959188959188,160.43587739124342,0.0,False
450,450000,incremental,0.021983967886539443,0.014795918367346941,0.019527477933526854,0.11734693877551021,0.038705667388851187,0.011989795918367347,0.025510520485708538,0.19387755102040816,0.04419768989847021,163.3281207303744,0.0,False
451,451000,incremental,0.024104290770957434,0.015343915343915344,0.02237918926999314,0.13227513227513227,0.04044802933691822,0.013756613756613757,0.027645230628255815,0.20105820105820105,0.05329460066855024,157.7906682551783,0.0,False
452,452000,incremental,0.02949379736856018,0.02064516129032258,0.03200878366166974,0.1870967741935484,0.045938932720242014,0.017096774193548388,0.03872493542397454,0.24516129032258063,0.07956291020807149,158.46495158990115,0.0,False
453,453000,incremental,0.02512681182110915,0.013580246913580249,0.020427117011849835,0.12345679012345678,0.043452597210710805,0.013271604938271607,0.027913974252504862,0.20987654320987653,0.04130789955308359,151.2339876530433,0.0,False
454,454000,incremental,0.02933469793091595,0.02129032258064516,0.025583664774688018,0.16129032258064516,0.047868056085060194,0.018064516129032256,0.031539602785677016,0.23870967741935484,0.05289248319508981,153.09034423129086,0.0,False
455,455000,incremental,0.03472705807768817,0.019883040935672513,0.03079895233265693,0.18128654970760233,0.048082205204765124,0.01374269005847953,0.035411231020510185,0.23391812865497075,0.06455393448427504,151.2396803314414,0.0,False
456,456000,incremental,0.03529659223309109,0.021195652173913046,0.03518703540457114,0.16847826086956522,0.05202248762457389,0.01657608695652174,0.04148203342724144,0.2391304347826087,0.08180471066731836,158.96169485858647,0.0,False
457,457000,incremental,0.03129195683543509,0.01818181818181818,0.02668622427154965,0.1393939393939394,0.05391854741657113,0.016060606060606063,0.03438016143060185,0.20606060606060606,0.0453906808184883,154.26303469512348,0.0,False
458,458000,incremental,0.0272884693759078,0.014367816091954023,0.025155131314755007,0.12643678160919541,0.049711172118483506,0.014080459770114944,0.03424160160930265,0.21839080459770116,0.060386010173829115,152.10131348544763,0.0,False
459,459000,incremental,0.04049920491767234,0.02155688622754491,0.0391751429509585,0.19161676646706588,0.06386102536427062,0.017664670658682637,0.0468877385076405,0.2934131736526946,0.09404467689955537,153.293677424865,0.0,False
460,460000,incremental,0.03046948626183549,0.01656441717791411,0.033514271548427746,0.1411042944785276,0.04096098566371099,0.01165644171779141,0.03668731863828023,0.1901840490797546,0.07630707674820573,153.1954716499223,584.9175221628311,True
461,461000,incremental,0.015013821223041094,0.01258741258741259,0.020521198117682653,0.11188811188811189,0.033556239754399655,0.01188811188811189,0.026978442820295268,0.1888111888111888,0.057213693040405036,169.33818911799014,0.0,False
