run,streaming_emissions_mg,content_init_emissions_mg,update_total_emissions_mg,expand_embeddings_emissions_mg
no_update,93024.33992541474,,0.0,64701.022025290105
incremental,118991.05110500312,,15349.633035496736,74935.3192187447
content_coldstart,112424.10826060166,17921.029254500456,0.0,68542.89527512525
content_incremental,144956.8676593155,18437.31791856187,16979.85668423209,83571.09361509497
