batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,n_unique_users,window_unique_users,window_unique_untrained_users,n_users_trained
1,1000,0.019811320754716984,0.0028301886792452833,0.01035768285442438,0.002555366269165247,0.0003407155025553663,0.0016513703234641917,0.007133917396745933,0.0010012515644555696,0.003961430719663892,0.7346683354192741,587,691,691,587,0.7346683354192741,799,799,587,65679
2,2000,0.0282312925170068,0.004081632653061225,0.011352708480432046,0.007456140350877193,0.0010526315789473686,0.00398252181404838,0.013701431492842536,0.00196319018404908,0.006198099400875372,0.6858895705521473,559,667,653,570,0.6993865030674846,815,1596,1146,65679
3,3000,0.029733009708737865,0.003398058252427185,0.018021418798844578,0.0,0.0,0.0,0.007352941176470588,0.0008403361344537816,0.004456677398033593,0.7334933973589436,611,722,699,627,0.7527010804321729,833,2399,1757,65679
4,4000,0.0011574074074074073,0.000462962962962963,0.0005440560405390145,0.0055005500550055,0.0006600660066006601,0.0024775636083881323,0.004359286293592862,0.0006082725060827251,0.001969488627055517,0.708029197080292,582,726,694,606,0.7372262773722628,822,3173,2339,65679
5,5000,0.018518518518518517,0.001851851851851852,0.010337915485645464,0.007525998905309251,0.001149425287356322,0.0031763280265800897,0.010404040404040405,0.0013333333333333335,0.005051361834044478,0.713939393939394,589,706,683,609,0.7381818181818182,825,3943,2928,65679
6,6000,0.022123893805309734,0.0022123893805309734,0.011350737138563077,0.0,0.0,0.0,0.005827505827505828,0.0005827505827505828,0.0029898212043301346,0.7027972027972028,603,716,676,632,0.7365967365967366,858,4739,3531,65679
7,7000,0.041463414634146344,0.005365853658536586,0.025528993856364778,0.007462686567164179,0.0009950248756218907,0.003578644831853617,0.01608910891089109,0.002103960396039604,0.009147730908616968,0.698019801980198,564,724,674,603,0.7462871287128713,808,5467,4095,65679
8,8000,0.0175,0.0025,0.008076261274264807,0.006369426751592357,0.0006369426751592357,0.0029299190442335843,0.009057971014492754,0.0010869565217391304,0.004172996877574459,0.7137681159420289,591,737,689,628,0.7584541062801933,828,6211,4686,65679
9,9000,0.010162601626016258,0.0019512195121951222,0.008047935478013586,0.006870229007633588,0.0007633587786259542,0.0050771932320328285,0.007655038759689922,0.0010465116279069768,0.005785335279039869,0.713953488372093,614,744,687,655,0.7616279069767442,860,6989,5300,65679
10,10000,0.008438818565400843,0.0012658227848101268,0.003299481656900812,0.009734513274336283,0.0010619469026548673,0.004100785977556923,0.009351620947630923,0.0011221945137157108,0.003863991558609917,0.6471321695760599,519,664,599,565,0.7044887780548629,802,7685,5819,65679
11,11000,0.025117681671079726,0.0038834951456310682,0.011035198749603691,0.004878048780487805,0.00048780487804878054,0.002694694606133339,0.009956446314546192,0.0013398294762484776,0.004787439860158786,0.7003654080389768,575,728,679,615,0.7490864799025578,821,8417,6394,65679
12,12000,0.014893617021276596,0.0017021276595744683,0.006750219404567016,0.011220580186097426,0.0013136288998357964,0.007685648497098302,0.012243285939968403,0.0014218009478672987,0.007425191344557008,0.6658767772511849,562,690,632,609,0.7215639810426541,844,9155,6956,65679
13,13000,0.024928774928774933,0.0029914529914529912,0.019139813287813223,0.010667091227511543,0.001576182136602452,0.007481528752007456,0.014812723508375682,0.001987577639751553,0.010870396554962176,0.6546583850931676,527,700,634,571,0.7093167701863354,805,9846,7483,65679
14,14000,0.018433179723502304,0.002304147465437788,0.007032190621618159,0.003418803418803419,0.0003418803418803419,0.001270188024517203,0.007481296758104738,0.0008728179551122194,0.002829233615004619,0.6608478802992519,530,701,614,585,0.729426433915212,802,10535,8013,65679
15,15000,0.02083333333333333,0.0030000000000000005,0.013396222030805429,0.00641025641025641,0.0008361204013377926,0.004105164452519765,0.010025062656641603,0.0013784461152882206,0.00643375031173923,0.6904761904761905,551,744,664,598,0.7493734335839599,798,11217,8564,65679
16,16000,0.03172782874617737,0.0045871559633027525,0.017399021297932676,0.006944444444444444,0.0006944444444444445,0.004121509979017398,0.013748950461796808,0.0017632241813602017,0.007766972784462651,0.6473551637279596,514,698,615,576,0.72544080604534,794,11864,9078,65679
17,17000,0.01600985221674877,0.001970443349753695,0.00899969942073546,0.005517241379310345,0.0008620689655172414,0.002933879703229941,0.008237547892720307,0.001149425287356322,0.0045064996299906315,0.6513409961685823,510,701,592,580,0.7407407407407407,783,12510,9588,65679
18,18000,0.008112094395280236,0.0013274336283185843,0.0031554826270774545,0.006047197640117994,0.0010619469026548673,0.003669864828761613,0.00663716814159292,0.0011378002528445006,0.0035228984854232823,0.6257901390644753,495,691,591,565,0.7142857142857143,791,13145,10083,65679
19,19000,0.01246279761904762,0.002232142857142857,0.006432773921472879,0.008524397413286302,0.0012345679012345679,0.003940384553042179,0.009639696586599241,0.0015170670037926678,0.004646193931712819,0.6460176991150443,511,682,607,567,0.7168141592920354,791,13793,10594,65679
20,20000,0.01051051051051051,0.0018018018018018018,0.006481936317138989,0.011776982707215266,0.0014311270125223615,0.006517140904617414,0.011416986769099444,0.001536491677336748,0.006507133966819448,0.6389244558258643,499,695,620,559,0.7157490396927016,781,14433,11093,65679
21,21000,0.026016260162601626,0.004878048780487805,0.01348602930170758,0.007401315789473684,0.0008223684210526315,0.005205266557854195,0.012095120951209511,0.0018450184501845018,0.007293281763868886,0.6703567035670357,545,716,630,608,0.7478474784747847,813,813,608,65679
22,22000,0.039189189189189184,0.0049549549549549555,0.019766660899939125,0.012285375962107756,0.0015985790408525756,0.005590701122693279,0.01989384288747346,0.0025477707006369425,0.009599698664793379,0.6343949044585987,498,704,612,563,0.7171974522292993,785,1578,1163,65679
23,23000,0.02112395376644081,0.0031088082901554407,0.007495309990469439,0.005119453924914676,0.0008532423208191126,0.0040642008265742895,0.009084625259208057,0.00141206675224647,0.004914270234317247,0.6662387676508345,519,703,613,586,0.7522464698331194,779,2313,1730,65679
24,24000,0.024154589371980676,0.0024154589371980675,0.014664980760162335,0.0044342507645259936,0.0007645259938837921,0.0020179221308099346,0.009175377468060394,0.0011614401858304297,0.005058504170619397,0.662020905923345,570,751,645,654,0.759581881533101,861,3118,2354,65679
25,25000,0.003968253968253968,0.0009523809523809524,0.0025471131557974966,0.010559360730593607,0.00136986301369863,0.004846671626836363,0.008816120906801008,0.0012594458438287153,0.004238476061448249,0.6435768261964736,511,718,619,584,0.7355163727959698,794,3851,2906,65679
26,26000,0.007686084142394822,0.0014563106796116507,0.0036317064313478235,0.005349099099099099,0.0008445945945945946,0.003131952832530462,0.005952380952380952,0.0010025062656641604,0.0032609619069118865,0.6591478696741855,526,724,629,592,0.7418546365914787,798,4583,3473,65679
27,27000,0.024024024024024024,0.003153153153153153,0.01365351330377063,0.0047619047619047615,0.0006722689075630252,0.0016754103494830666,0.009995920032639738,0.001346389228886169,0.004930170270966346,0.6560587515299877,536,708,627,595,0.7282741738066095,817,5327,4032,65679
28,28000,0.014673913043478261,0.002173913043478261,0.007763686296432613,0.009408602150537635,0.0011290322580645162,0.006971570061272096,0.010613598673300166,0.0013681592039800996,0.007152850393696891,0.6791044776119403,546,745,648,620,0.7711442786069652,804,6051,4614,65679
29,29000,0.02103174603174603,0.003333333333333333,0.00959619605676139,0.00315955766192733,0.00031595576619273305,0.0016078713440853068,0.007611704230921312,0.0010676156583629892,0.0035978454717982104,0.6595492289442467,556,729,625,633,0.7508896797153025,843,6796,5198,65679
30,30000,0.024676375404530743,0.003398058252427185,0.008669301667724207,0.008241758241758242,0.001309328968903437,0.004567858780470575,0.012385615200792678,0.0018359853121175031,0.005602004722666717,0.6548347613219094,535,740,641,611,0.7478580171358629,817,7527,5763,65679
31,31000,0.0374074074074074,0.005333333333333334,0.019116963318333624,0.0032948929159802307,0.0006589785831960462,0.002413267989841214,0.01252003205128205,0.0019230769230769232,0.006930493289012839,0.6286057692307693,523,705,595,607,0.7295673076923077,832,8273,6323,65679
32,32000,0.004651162790697674,0.00046511627906976747,0.0015503875968992248,0.005998956703182055,0.000782472613458529,0.0023054246762317424,0.005659640905542544,0.0007025761124121781,0.0021153392288588016,0.6428571428571429,549,740,630,639,0.7482435597189696,854,9013,6906,65679
33,33000,0.04028730703259005,0.0056603773584905665,0.024741862253592727,0.0008169934640522876,0.00016339869281045753,0.0003160562150609,0.01097197705207414,0.0015776699029126217,0.006600365535654041,0.6237864077669902,514,717,597,612,0.7427184466019418,824,9717,7457,65679
34,34000,0.021359223300970877,0.003398058252427185,0.011625363752292051,0.012085441259134345,0.0015177065767284991,0.007418108583807387,0.014476428869420108,0.0020025031289111392,0.008502832694830967,0.6220275344180225,497,711,591,593,0.7421777221526908,799,10399,7986,65679
