batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,id_resolution_emissions_mg,recovered_history_seed_emissions_mg,expand_embeddings_emissions_mg,gt_split_emissions_mg,scoring_emissions_mg,history_update_emissions_mg,apply_content_seeds_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,0.029757217847769028,0.004133858267716535,0.015606667803340453,0.04133858267716536,0.013160854893138356,0.009335624284077892,0.002061855670103093,0.006353497187920807,0.020618556701030927,0.00781786941580756,0.024113643558088,0.0035612535612535613,0.013049523787113371,0.03561253561253561,0.011684303350970019,194,0.27635327635327633,65679,11.7508706720833,47.37372930054034,150.42791845422616,12.12298945890884,20.631040004787366,11.667455755443513,12.737124942109038,266.7111285880986,514.7070007293252,True
2,2000,0.014603960396039605,0.0017821782178217822,0.008074136433824127,0.01782178217821782,0.006449002043061449,0.03424657534246575,0.005022831050228311,0.024739474724812353,0.0410958904109589,0.023610205117054434,0.020545580110497237,0.0027624309392265192,0.013115171082617526,0.024861878453038673,0.011640028939752696,205,0.28314917127071826,65679,12.04460721074491,49.132051557783996,156.61239347335305,12.117518734473201,14.77072431660658,11.678881392639639,13.868491660298409,270.2246683458998,512.2847365637011,True
3,3000,0.030243612596553768,0.00411764705882353,0.017929774423539713,0.0392156862745098,0.016448023653906005,0.023206751054852322,0.0025316455696202536,0.010935302294443444,0.02531645569620253,0.008825597749648383,0.028011034035130417,0.0036144578313253013,0.015710644711898727,0.03480589022757698,0.014029663628057201,207,0.27710843373493976,65679,11.739359641334701,41.658268293712304,159.72216283451556,11.779233466760203,15.22466283727323,11.725571093849918,12.949498926312105,264.798757093758,548.3950255588863,True
4,4000,0.014482284141726864,0.002549019607843137,0.006791056802665433,0.025490196078431372,0.0069195455960161835,0.024608843537414965,0.005238095238095239,0.014489485942712259,0.0380952380952381,0.014569160997732426,0.017435863965469228,0.003333333333333334,0.009036431968512424,0.029166666666666667,0.009150683421516754,179,0.24861111111111112,65679,11.730837703636219,39.86359386118311,150.9850882950611,11.838159099515373,14.764145787101151,11.740361834397614,12.96142065026172,253.88360723115628,552.2108626720307,True
5,5000,0.02262142381902861,0.002594810379241517,0.012803321480461939,0.02594810379241517,0.01002914805310015,0.03271585166204,0.005381165919282512,0.02195196258598705,0.053811659192825115,0.02362979571499751,0.025730619135315266,0.003453038674033149,0.01562120403092064,0.034530386740331494,0.014218297816364115,178,0.24585635359116023,65679,11.738230035737272,36.558220772174316,152.36190859247617,11.66570251053857,14.761862881762857,11.69150531166131,13.05332214836816,251.83075225271864,532.1759926121077,True
6,6000,0.029586834733893556,0.004201680672268907,0.015305026942515303,0.03991596638655462,0.012845971722022143,0.015330188679245283,0.0028301886792452833,0.009154538065992165,0.02358490566037736,0.009321653189577717,0.025193798449612403,0.0037790697674418604,0.013409818160795964,0.03488372093023256,0.011759989848652638,169,0.24563953488372092,65679,11.770860067033574,35.44047298343917,158.57748489117066,11.704339788492883,14.748461531336778,11.72127645818026,13.115051186064242,257.07794690571757,515.8843643804064,True
7,7000,0.021875,0.002916666666666667,0.010490244624605733,0.029166666666666667,0.007997685185185184,0.023727015558698727,0.004455445544554456,0.013871372465820962,0.039603960396039604,0.014823982398239824,0.022423544197737743,0.003372434017595308,0.01149169304678385,0.03225806451612903,0.010019550342130989,147,0.2155425219941349,65679,11.88762947672544,31.186586757406438,157.64504821116128,11.681115434507804,14.747945941444817,11.841656648315865,13.080323760399082,252.07030622996075,525.3349571408932,True
8,8000,0.034075573549257755,0.005060728744939271,0.018584126129458138,0.0465587044534413,0.018105359552727976,0.025396825396825397,0.0028571428571428576,0.01870083537251279,0.02857142857142857,0.017063492063492062,0.031486742424242424,0.004403409090909091,0.01861893996616478,0.041193181818181816,0.017794575216450215,151,0.21448863636363635,65679,11.773632743573327,31.915520326890498,171.92536219892955,11.838490972470272,15.839352425508178,11.87759946367009,13.08500601265427,268.25496414369616,525.1471669005681,True
9,9000,0.03624107850911974,0.004329896907216495,0.01753380929666511,0.04329896907216495,0.01254131893307151,0.022166034555415087,0.005752212389380531,0.01859999837973368,0.048672566371681415,0.02456278971765697,0.03176715455196468,0.004781997187060479,0.01787271046793585,0.0450070323488045,0.016362489674725963,160,0.2250351617440225,65679,11.798985035070368,36.24811740796357,154.54134760036538,11.66786566854719,14.855023025811542,11.686146981347568,13.19910463230909,253.9965903514147,535.9445737864733,True
10,10000,0.01922043010752688,0.00282258064516129,0.010354179720955497,0.02620967741935484,0.010307059651817716,0.02791461412151067,0.003448275862068966,0.01486120025624704,0.034482758620689655,0.012129564469465946,0.021745350500715306,0.0030042918454935624,0.011663085541648176,0.02861230329041488,0.01083634216681427,151,0.21602288984263232,65679,11.776560800214227,31.69223662446725,158.7192057752769,11.893985533379531,14.7323739999013,11.697485821768847,12.903296969441966,253.41514552445,543.1950502381251,True
