batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,id_resolution_emissions_mg,recovered_history_seed_emissions_mg,expand_embeddings_emissions_mg,gt_split_emissions_mg,scoring_emissions_mg,history_update_emissions_mg,apply_content_seeds_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,0.029757217847769028,0.004133858267716535,0.015606667803340453,0.04133858267716536,0.013160854893138356,0.009335624284077892,0.002061855670103093,0.006353497187920807,0.020618556701030927,0.00781786941580756,0.024113643558088,0.0035612535612535613,0.013049523787113371,0.03561253561253561,0.011684303350970019,194,0.27635327635327633,65679,11.83495492020352,47.90122647652394,153.86514114477603,12.270130108259009,17.624807977494743,11.670849549527922,13.66756123117208,268.8346714079573,0.0,False
2,2000,0.016584158415841585,0.0019801980198019802,0.00871553019508882,0.019801980198019802,0.006716171617161716,0.026255707762557076,0.0036529680365296807,0.0216438434025041,0.0319634703196347,0.021961295933898672,0.01950966850828729,0.0024861878453038676,0.01262616637246996,0.023480662983425413,0.01132761115495922,205,0.28314917127071826,65679,11.769123348200484,43.766108211476876,156.11298369936992,11.679886398755402,15.22319879851907,11.676533022761523,13.481855747097073,263.70968922618033,0.0,False
3,3000,0.03220439691027926,0.004313725490196079,0.01855497532118222,0.041176470588235294,0.01644880174291939,0.0189873417721519,0.002109704641350211,0.009181087061402655,0.02109704641350211,0.007735583684950773,0.028011034035130417,0.0036144578313253013,0.015580930451613604,0.03480589022757698,0.013684367098021715,207,0.27710843373493976,65679,11.779542627920742,38.485016610493574,166.7840004707941,11.679299795228038,14.753524042426802,11.707898183917122,13.167932953393919,268.35721468417427,0.0,False
4,4000,0.01546267629858961,0.0025490196078431374,0.006732912791890686,0.025490196078431372,0.00631730469965764,0.015918367346938776,0.0033333333333333335,0.01231088242002985,0.02857142857142857,0.015918367346938776,0.015595586187691449,0.002777777777777778,0.00835982060009794,0.02638888888888889,0.009117614638447973,179,0.24861111111111112,65679,11.833059826128366,36.12462026927584,147.12681643234689,11.660725330359503,14.938333515391884,11.669082770748547,12.680457985343816,246.03309612959484,0.0,False
5,5000,0.021623419827012644,0.0023952095808383238,0.013438500734088735,0.023952095808383235,0.011377245508982036,0.03357000498256103,0.005381165919282512,0.019126712606106145,0.04932735426008968,0.016228913089899637,0.025303100061387352,0.0033149171270718232,0.015190532843839956,0.031767955801104975,0.012871612733491187,178,0.24585635359116023,65679,11.716238932100824,33.372393925889135,156.9273451956217,11.66692785480386,14.947734228859966,11.722524493888242,12.968811249554433,253.32197588071816,0.0,False
6,6000,0.02906162464985994,0.004201680672268907,0.01579322997549973,0.03991596638655462,0.013674636521275178,0.012971698113207548,0.0023584905660377358,0.010065115219714104,0.018867924528301886,0.010220125786163521,0.024103682170542633,0.003633720930232558,0.014028171358891367,0.03343023255813953,0.01261016519010705,169,0.24563953488372092,65679,11.790816241853642,32.85566318713068,153.85306808773296,11.672232735304016,15.298427876825945,11.688477261376185,13.457219722588787,250.61590511281221,0.0,False
7,7000,0.013888888888888888,0.0020833333333333333,0.007408088128895929,0.020833333333333332,0.006128472222222222,0.007178217821782178,0.0014851485148514854,0.00738850220353967,0.01485148514851485,0.010451045104510451,0.011901270772238515,0.0019061583577712614,0.007402287019039675,0.01906158357771261,0.0074087650700553915,147,0.2155425219941349,65679,11.840466254035105,30.981061652903723,163.53189466749043,11.721224596791814,14.96216511759612,11.751296828729947,13.556552404609105,258.34466152215623,0.0,False
8,8000,0.025978407557354928,0.004251012145748988,0.01432178403639014,0.03643724696356275,0.013941906047169206,0.015873015873015872,0.0019047619047619048,0.012521024972853326,0.01904761904761905,0.012585034013605442,0.022964015151515152,0.0035511363636363635,0.01378462579300558,0.03125,0.013537157287157287,151,0.21448863636363635,65679,11.871693009603366,32.99088183385647,161.86752209141002,11.68295886032171,14.69196124967041,11.733179166749027,12.987271143511617,257.82546735512267,0.0,False
9,9000,0.0274781919111816,0.0032989690721649486,0.013511671200204944,0.032989690721649485,0.009953362788414334,0.018109987357774967,0.004424778761061947,0.012058380621562927,0.04424778761061947,0.015228613569321533,0.024500394120647282,0.0036568213783403666,0.013049725109103542,0.03656821378340366,0.011630165427633782,160,0.2250351617440225,65679,11.7871950640531,32.171209323430226,148.17076627101233,11.66669644709229,14.672043617492726,11.677117367104184,13.29654872335136,243.4415768135362,0.0,False
10,10000,0.016767473118279568,0.002620967741935484,0.008784244647227242,0.024193548387096774,0.008142921146953405,0.02134646962233169,0.0024630541871921183,0.012519639163227908,0.024630541871921183,0.010509031198686371,0.018097281831187407,0.002575107296137339,0.009869058791359053,0.024320457796852647,0.008830074709903036,151,0.21602288984263232,65679,11.77014240786884,30.803171223494406,158.78453802882325,11.707014167541828,15.016811391008709,11.792247861732493,13.335450758835375,253.20937583930493,0.0,False
11,11000,0.02949260042283298,0.004228329809725159,0.013462602413772031,0.042283298097251586,0.011967683479311386,0.014027777777777776,0.002916666666666667,0.008716997846678178,0.029166666666666667,0.0109375,0.02428705002337541,0.0037868162692847127,0.011865203962015335,0.037868162692847124,0.01162091765177319,152,0.2131837307152875,65679,12.058361934061402,39.387024537428616,177.31971679455947,11.756467715106147,15.160512717877008,11.790192575014332,13.0374279911122,280.5097042651592,0.0,False
12,12000,0.026595999520900707,0.004150197628458498,0.01449722489908274,0.039525691699604744,0.016465901248509947,0.00628415300546448,0.001639344262295082,0.004694326452107692,0.01639344262295082,0.006505334374186833,0.01998787878787879,0.0033333333333333335,0.011308015271000192,0.032,0.013225396825396824,158,0.21066666666666667,65679,11.869065981735556,32.33478290884731,151.84078888614118,11.68038336333459,14.769383246718196,11.675083342395105,13.110613742240394,247.28010147141234,0.0,False
13,13000,0.03261494252873563,0.004310344827586207,0.014809005767160554,0.040948275862068964,0.012439278872468526,0.02055800293685756,0.003524229074889868,0.010193228249221135,0.030837004405286344,0.012261380323054334,0.02865412445730825,0.004052098408104197,0.01329267943348147,0.03762662807525326,0.012380837525555325,141,0.2040520984081042,65679,11.762862985143212,29.395555296835624,147.9329860643048,11.833351272521643,15.0921466969961,11.820718004146215,13.353649137464938,241.19126945741255,0.0,False
14,14000,0.032407407407407406,0.004732510288065843,0.018112519398175365,0.04526748971193416,0.01602570383434581,0.026416666666666665,0.0045000000000000005,0.017834753447322903,0.045,0.020388888888888887,0.030660835762876575,0.004664723032069971,0.018031538071396222,0.04518950437317784,0.01729776944791522,122,0.17784256559766765,65679,11.987231683606957,27.164627566942517,162.89121377161854,11.773214171896877,15.562846358502593,12.007575190904097,14.317178026676537,255.70388677014813,0.0,False
15,15000,0.02661764705882353,0.0035294117647058825,0.011650488325581349,0.03529411764705882,0.009218487394957982,0.021287519747235386,0.0037914691943127963,0.012298255577911067,0.037914691943127965,0.011058451816745654,0.02484931865828092,0.0036163522012578613,0.011865392241055518,0.036163522012578615,0.009828915843066787,124,0.1949685534591195,65679,11.891107225063015,26.93859148644208,155.5439249011732,11.728955380099597,14.941568568323586,11.789625272584473,13.118313354899652,245.95208618858558,0.0,False
16,16000,0.014449371766444938,0.0031042128603104213,0.008124384187072757,0.026607538802660754,0.007224685883222469,0.021591460456089277,0.0030567685589519655,0.011096657856833047,0.03056768558951965,0.009405974908158313,0.016854575163398694,0.0030882352941176473,0.009125341055271442,0.027941176470588237,0.007959267040149395,138,0.20294117647058824,65679,11.76374707357198,30.73999384258473,150.40827824116394,11.726002816601216,14.856734582836124,11.899315102238683,12.451903115968422,243.8459747749651,0.0,False
17,17000,0.018683409436834095,0.00319634703196347,0.009951265133574957,0.02968036529680365,0.010029354207436399,0.026751373626373625,0.005384615384615385,0.0182017543729748,0.046153846153846156,0.019337606837606842,0.021688668303997818,0.004011461318051576,0.013024513274325614,0.03581661891117478,0.013496611634147452,165,0.23638968481375358,65679,11.85105804826954,33.15914415410147,164.30299147172923,11.814489612290563,15.068363469765595,11.702971202953716,13.650203230896988,261.5492211900071,0.0,False
