update_every,pct_recall,pct_precision,pct_ndcg,pct_energy
270,0.0,0.0,0.0,0.0
180,6.313508974290492,6.01980497487233,5.7110647702492505,4.292526285243381
134,9.066026934484515,8.919366669145248,8.94006616692843,4.523510607902936
67,16.629887479463555,15.691382262231663,16.419194935282796,7.079079271739189
33,22.287117274289354,21.065088422064594,21.677583285296453,12.12881323941654
16,27.41836303209698,25.865808407234336,26.490151358122958,19.814851602638015
9,31.028514016365307,29.338977237688766,30.624440089684672,33.494395904908586
5,35.59899455150089,33.368486179736614,34.50526347860944,54.90426218026268
2,41.43791997023569,39.01569886500012,40.02629281078696,126.78392946680077
1,44.99538092495442,42.24556184824029,43.39570083523263,252.57360583262835
