metric,mean_no_update,mean_incremental,mean_gap,pct_improvement,win_rate,wilcoxon_p,n_batches
Recall@10,0.012538092669185784,0.023954481947880052,0.011416389278694268,91.05363614636325,0.9543650793650794,6.48371712412481e-81,504
Precision@10,0.0018760450689370733,0.0035561361970566376,0.0016800911281195643,89.55494491779282,0.9503968253968254,1.77049114955796e-80,504
NDCG@10,0.006789876545560908,0.013000074822099006,0.006210198276538097,91.46260959042336,0.9583333333333334,5.315775890045466e-81,504
HR@10,0.01808065227801459,0.03403558894445065,0.01595493666643606,88.24314754306003,0.9503968253968254,2.5312599769998677e-80,504
Recall@20,0.02188464160719491,0.040899101546927843,0.019014459939732935,86.88495009889328,0.9603174603174603,5.18538572741623e-81,504
Precision@20,0.0016197617023001151,0.0030108738062292265,0.0013911121039291113,85.88375079826163,0.9603174603174603,5.185149000911887e-81,504
NDCG@20,0.009332344280405568,0.01760398980843136,0.008271645528025793,88.63416607328936,0.9603174603174603,5.18538572741623e-81,504
HR@20,0.030800318884918902,0.056761858129775335,0.025961539244856432,84.2898391469845,0.9603174603174603,5.185149000911887e-81,504
MRR,0.007229143137238529,0.013578067367280905,0.0063489242300423755,87.82402159583758,0.9583333333333334,5.28287497596466e-81,504
