batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,content_seed_emissions_mg,update_emissions_mg,updated
1,1000,0.03134302775133304,0.02149532710280374,0.03157621458754149,0.1588785046728972,0.0646417445482866,0.0,0.0,0.0,0.0,0.0,0.02220996006220288,0.015231788079470197,0.02237519841633735,0.11258278145695365,0.045805739514348784,44,0.2913907284768212,59868,29.323361837974137,0.0,False
2,2000,0.024530075971373796,0.014166666666666668,0.026841565359537446,0.14166666666666666,0.07045965608465607,0.0065359477124183,0.00196078431372549,0.0030671812158350096,0.0196078431372549,0.0028011204481792717,0.01916340613975549,0.010526315789473686,0.019750959562292857,0.10526315789473684,0.050280794579040194,50,0.29239766081871343,59868,30.38502473465064,0.0,False
3,3000,0.04289256413316564,0.023308270676691726,0.039016627963729636,0.18045112781954886,0.0716374269005848,0.011737089201877934,0.0028169014084507044,0.006894483303987831,0.028169014084507043,0.008802816901408451,0.03204923707374687,0.016176470588235292,0.02783686193019205,0.12745098039215685,0.04976851851851851,71,0.3480392156862745,59868,32.99041528046235,0.0,False
4,4000,0.036068361333943304,0.02288135593220339,0.02995963957007984,0.19491525423728814,0.05317460317460317,0.03252032520325203,0.007317073170731709,0.01627220621868786,0.07317073170731707,0.01524390243902439,0.035153458935463164,0.01886792452830189,0.026430175624123413,0.16352201257861634,0.04339373065788161,41,0.2578616352201258,59868,28.77116093152513,0.0,False
5,5000,0.03687917353029739,0.019512195121951223,0.03260111144423458,0.18699186991869918,0.06525680732997806,0.005747126436781609,0.001724137931034483,0.008091012517633733,0.017241379310344827,0.017241379310344827,0.026903158439557526,0.013812154696132596,0.024747046594826575,0.13259668508287292,0.04987064807506797,58,0.32044198895027626,59868,31.23007606759461,0.0,False
6,6000,0.030188482441585514,0.01834862385321101,0.030495197853964335,0.1651376146788991,0.06785714285714285,0.03205128205128205,0.007692307692307693,0.02340269563179557,0.07692307692307693,0.03434065934065934,0.030790132004965765,0.014906832298136647,0.028204451794630322,0.13664596273291926,0.057031943212067435,52,0.32298136645962733,59868,30.439326126750355,0.0,False
7,7000,0.029866752401789227,0.018260869565217393,0.025262305094163204,0.1565217391304348,0.042363699102829534,0.00980392156862745,0.00196078431372549,0.0042824987611404745,0.0196078431372549,0.00326797385620915,0.023702870639793747,0.013253012048192769,0.018816701943656217,0.1144578313253012,0.03035236182826544,51,0.3072289156626506,59868,30.034011982305802,0.0,False
8,8000,0.02631900526637369,0.020720720720720724,0.02291203263328408,0.1891891891891892,0.04601387101387101,0.026515151515151512,0.00681818181818182,0.023861225051758736,0.06818181818181818,0.03598484848484848,0.026374685491833198,0.016774193548387096,0.02318148080368979,0.15483870967741936,0.04316692268305172,44,0.2838709677419355,59868,29.490729711994838,0.0,False
9,9000,0.03147865982295807,0.016666666666666666,0.030364180268925924,0.15079365079365079,0.061309523809523814,0.023474178403755867,0.007042253521126761,0.021503064485231146,0.07042253521126761,0.0386317907444668,0.02859379596121514,0.013197969543147208,0.027170580164142526,0.1218274111675127,0.05313633067440173,71,0.3604060913705584,59868,33.6726645922071,0.0,False
10,10000,0.04367794431101283,0.026415094339622643,0.04115786640212327,0.2169811320754717,0.080641659179395,0.024509803921568624,0.0058823529411764705,0.0148090246335896,0.058823529411764705,0.01764705882352941,0.03618694691743694,0.01839080459770115,0.03086061789488023,0.15517241379310345,0.05602307972997628,68,0.39080459770114945,59868,32.336201650237456,0.0,False
11,11000,0.031191684607382284,0.02307692307692308,0.029578823064700957,0.20192307692307693,0.06521672771672772,0.008771929824561403,0.002631578947368421,0.0038958146179719107,0.02631578947368421,0.003289473684210526,0.025192031919021765,0.017605633802816902,0.02270590531135093,0.15492957746478872,0.048644645651687905,38,0.2676056338028169,59868,28.620113050206566,0.0,False
12,12000,0.03269442165436001,0.019090909090909092,0.03104119145331965,0.16363636363636364,0.05704184704184703,0.02564102564102564,0.005128205128205128,0.021321913579067247,0.05128205128205128,0.029914529914529916,0.030848230751540955,0.015436241610738253,0.028497219392273718,0.1342281879194631,0.049941408330670074,39,0.26174496644295303,59868,28.454918765024182,0.0,False
13,13000,0.019924843674843675,0.014166666666666666,0.017122429317983096,0.11666666666666667,0.03271825396825397,0.0319634703196347,0.00821917808219178,0.016031819772309934,0.0821917808219178,0.015449010654490107,0.0244783138565522,0.011917098445595856,0.016709918971692213,0.10362694300518134,0.026186364010198207,73,0.37823834196891193,59868,33.16131328846432,0.0,False
14,14000,0.04273621476562653,0.022400000000000003,0.031171018861435473,0.208,0.05678730158730159,0.028571428571428567,0.008571428571428572,0.026382805225650185,0.08571428571428572,0.048072562358276644,0.03765141972155547,0.01743589743589744,0.029452172940897168,0.1641025641025641,0.05365893365893365,70,0.358974358974359,59868,32.57347026108351,0.0,False
15,15000,0.02226115368867976,0.01565217391304348,0.024780574901577732,0.12173913043478261,0.0513768115942029,0.025157232704402514,0.007547169811320755,0.013965307777817815,0.07547169811320754,0.016561844863731655,0.02317479766387801,0.013095238095238096,0.021368615630391566,0.10714285714285714,0.040393518518518516,53,0.31547619047619047,59868,30.524514417249407,0.0,False
16,16000,0.02450090971830102,0.011304347826086957,0.021379889018805196,0.10434782608695652,0.04183574879227053,0.03968253968253968,0.009523809523809525,0.0401209863365907,0.09523809523809523,0.06746031746031746,0.028562237479434927,0.010828025477707007,0.02639343097642934,0.10191082802547771,0.04869072894550602,42,0.267515923566879,59868,28.773267875533655,0.0,False
17,17000,0.035434282493106026,0.02254901960784314,0.03270451100887428,0.20588235294117646,0.07187986305633365,0.016025641025641024,0.0038461538461538464,0.020815883053619515,0.038461538461538464,0.038461538461538464,0.028880715244351606,0.016233766233766232,0.02869016910190514,0.14935064935064934,0.06059575345289631,52,0.33766233766233766,59868,30.346235338634713,0.0,False
18,18000,0.03104960502742147,0.02148760330578512,0.0334186864783118,0.18181818181818182,0.0794503476321658,0.03216374269005848,0.007017543859649123,0.018765972545855814,0.07017543859649122,0.020175438596491225,0.03140637944747939,0.016853932584269662,0.028726525275221963,0.14606741573033707,0.06046905653647226,57,0.3202247191011236,59868,31.201630121827026,0.0,False
19,19000,0.03639151619622208,0.0256,0.03476038320441631,0.208,0.0776984126984127,0.031073446327683614,0.00847457627118644,0.026598859991330135,0.06779661016949153,0.03790018832391714,0.03468626553185376,0.020108695652173915,0.03214337304369846,0.16304347826086957,0.06493702553485163,59,0.32065217391304346,59868,31.527464038823837,0.0,False
20,20000,0.047771227892849884,0.02380952380952381,0.039966980607827655,0.20634920634920634,0.07264739229024943,0.018518518518518517,0.003703703703703704,0.007974520673825316,0.037037037037037035,0.0060185185185185185,0.038995415080550475,0.017777777777777778,0.030369242627626955,0.15555555555555556,0.052658730158730155,54,0.3,59868,30.842623652099736,604.1868607681058,True
21,21000,0.032341615259157276,0.020535714285714286,0.027894005138243857,0.1875,0.05842899659863945,0.020833333333333332,0.0058823529411764705,0.020879541316960504,0.058823529411764705,0.04044117647058824,0.027994042087179337,0.015000000000000001,0.025244096583536813,0.1388888888888889,0.05163359788359788,68,0.37777777777777777,59868,38.19413723080049,0.0,False
22,22000,0.03589302318810515,0.020491803278688527,0.029375278124669002,0.1721311475409836,0.05534738485558158,0.005952380952380952,0.0017857142857142859,0.002522624515354089,0.017857142857142856,0.001984126984126984,0.02647349529372001,0.014606741573033709,0.020927252270053074,0.12359550561797752,0.03855894417692171,56,0.3146067415730337,59868,32.121961429861585,0.0,False
23,23000,0.05111736951843552,0.02547169811320755,0.0373471200793164,0.20754716981132076,0.05748727163821503,0.022727272727272728,0.00681818181818182,0.012083865784564385,0.045454545454545456,0.010227272727272727,0.04278960779302776,0.02,0.02993656548618914,0.16,0.04362433862433863,44,0.29333333333333333,59868,32.99287054679201,0.0,False
24,24000,0.03999407669615812,0.024561403508771933,0.04172031718747892,0.21929824561403508,0.09280840991367308,0.018018018018018018,0.005405405405405406,0.0253664176228517,0.05405405405405406,0.05405405405405406,0.0346092146359516,0.019867549668874173,0.03771307027429212,0.17880794701986755,0.08331230947124986,37,0.24503311258278146,59868,32.02725086805308,0.0,False
25,25000,0.041750223460749775,0.024545454545454547,0.03950516458492353,0.21818181818181817,0.07868326118326119,0.05072463768115942,0.013043478260869568,0.033954221255539783,0.10869565217391304,0.04151138716356107,0.04439652508984492,0.021153846153846155,0.037868347962156525,0.1858974358974359,0.06772232397232397,46,0.2948717948717949,59868,30.40491952511741,0.0,False
26,26000,0.02363107702090753,0.011864406779661017,0.014825833518757305,0.11016949152542373,0.019962335216572504,0.029569892473118278,0.008064516129032258,0.02277595287186328,0.08064516129032258,0.03561827956989247,0.025676669010002342,0.010555555555555556,0.017564207962604918,0.1,0.02535493827160494,62,0.34444444444444444,59868,31.518659861022098,0.0,False
27,27000,0.030144705952781264,0.024468085106382976,0.031986872121771405,0.19148936170212766,0.0709937521107734,0.04166666666666666,0.011111111111111112,0.022585972543247883,0.1111111111111111,0.025958994708994706,0.033335402765857225,0.02076923076923077,0.029383546084641814,0.16923076923076924,0.05852258852258853,36,0.27692307692307694,59868,28.391960372735436,0.0,False
28,28000,0.027649810144089317,0.016666666666666666,0.02941265101750453,0.14035087719298245,0.06935742133110553,0.013888888888888886,0.0035714285714285718,0.006323639566074598,0.03571428571428571,0.005654761904761905,0.021811843550973986,0.011111111111111112,0.0196173128259888,0.09595959595959595,0.04233205066538401,84,0.42424242424242425,59868,34.36770290724105,0.0,False
29,29000,0.015350357673727236,0.009375000000000001,0.013202557418114111,0.09375,0.02522631448412698,0.025423728813559317,0.006779661016949153,0.010645638485858143,0.06779661016949153,0.008333333333333333,0.018528587070786556,0.008556149732620321,0.01239582898494244,0.0855614973262032,0.01989644342585519,59,0.3155080213903743,59868,31.00805479602795,0.0,False
30,30000,0.033460136849967355,0.021186440677966104,0.030841882781642658,0.19491525423728814,0.05765065913370998,0.015151515151515152,0.004545454545454546,0.011215223900222168,0.045454545454545456,0.017045454545454544,0.026892913849435585,0.015217391304347827,0.023801885574176614,0.14130434782608695,0.04308574879227053,66,0.358695652173913,59868,32.26471560533779,0.0,False
31,31000,0.0266682558911377,0.022935779816513763,0.029079077112234362,0.1834862385321101,0.06577107907383137,0.01633986928104575,0.00392156862745098,0.015300149955522757,0.0392156862745098,0.022875816993464054,0.023376082659170894,0.016874999999999998,0.02468704408103254,0.1375,0.05209821428571428,51,0.31875,59868,30.42674998797787,0.0,False
32,32000,0.03768031351364684,0.0264957264957265,0.0373900660024942,0.19658119658119658,0.07390449057115724,0.010582010582010581,0.0031746031746031746,0.004636162149841798,0.031746031746031744,0.003854875283446712,0.028195907487574154,0.018333333333333337,0.025926199654065854,0.1388888888888889,0.04938712522045855,63,0.35,59868,32.03633523718144,0.0,False
33,33000,0.03322561889295964,0.018181818181818184,0.0314714738147031,0.1590909090909091,0.06650733525733525,0.017295597484276726,0.0056603773584905665,0.019013202481090393,0.05660377358490566,0.04009433962264151,0.02866188302993156,0.014594594594594595,0.027902347432641084,0.12972972972972974,0.058940368940368935,53,0.2864864864864865,59868,30.775986020539165,0.0,False
34,34000,0.04057550048929359,0.025396825396825397,0.03429020780567705,0.21428571428571427,0.06744771982867222,0.02083333333333333,0.005555555555555556,0.01805908888480689,0.05555555555555555,0.029513888888888888,0.033396530614398956,0.01818181818181818,0.028387982743542442,0.15656565656565657,0.053653599486932824,71,0.35858585858585856,59868,32.95313682121122,0.0,False
35,35000,0.03192968034237377,0.01926605504587156,0.030552123070530984,0.1834862385321101,0.06049949031600407,0.02586206896551724,0.006896551724137932,0.013616762705122637,0.06896551724137931,0.015154625068418172,0.029822366211489468,0.014970059880239521,0.024670381147215516,0.1437125748502994,0.0447509742419922,58,0.3473053892215569,59868,31.36320177602789,0.0,False
