batch,interactions,recall_existing,recall_new_content,recall_overall_content,n_new_users,pct_new_users,n_users_trained
1,1000,0.03134302775133304,0.0,0.02220996006220288,44,0.2913907284768212,59868
2,2000,0.024530075971373796,0.0065359477124183,0.01916340613975549,50,0.29239766081871343,59868
3,3000,0.04289256413316564,0.011737089201877934,0.03204923707374687,71,0.3480392156862745,59868
4,4000,0.036068361333943304,0.03252032520325203,0.035153458935463164,41,0.2578616352201258,59868
5,5000,0.03687917353029739,0.005747126436781609,0.026903158439557526,58,0.32044198895027626,59868
6,6000,0.030188482441585514,0.03205128205128205,0.030790132004965765,52,0.32298136645962733,59868
7,7000,0.029866752401789227,0.00980392156862745,0.023702870639793747,51,0.3072289156626506,59868
8,8000,0.02631900526637369,0.026515151515151512,0.026374685491833198,44,0.2838709677419355,59868
9,9000,0.03147865982295807,0.023474178403755867,0.02859379596121514,71,0.3604060913705584,59868
10,10000,0.04367794431101283,0.024509803921568624,0.03618694691743694,68,0.39080459770114945,59868
11,11000,0.031191684607382284,0.008771929824561403,0.025192031919021765,38,0.2676056338028169,59868
12,12000,0.03269442165436001,0.02564102564102564,0.030848230751540955,39,0.26174496644295303,59868
13,13000,0.019924843674843675,0.0319634703196347,0.0244783138565522,73,0.37823834196891193,59868
14,14000,0.04273621476562653,0.028571428571428567,0.03765141972155547,70,0.358974358974359,59868
15,15000,0.02226115368867976,0.025157232704402514,0.02317479766387801,53,0.31547619047619047,59868
16,16000,0.02450090971830102,0.03968253968253968,0.028562237479434927,42,0.267515923566879,59868
17,17000,0.035434282493106026,0.016025641025641024,0.028880715244351606,52,0.33766233766233766,59868
18,18000,0.03104960502742147,0.03216374269005848,0.03140637944747939,57,0.3202247191011236,59868
19,19000,0.03639151619622208,0.031073446327683614,0.03468626553185376,59,0.32065217391304346,59868
20,20000,0.047771227892849884,0.018518518518518517,0.038995415080550475,54,0.3,59868
21,21000,0.0334576866877287,0.020833333333333332,0.028688486531623782,68,0.37777777777777777,59868
22,22000,0.0365235402120648,0.0,0.025032988235235424,56,0.3146067415730337,59868
23,23000,0.04865047227248141,0.022727272727272728,0.04104633373922019,44,0.29333333333333333,59868
24,24000,0.0405423223101932,0.018018018018018018,0.03502312192071982,37,0.24503311258278146,59868
25,25000,0.04047563547563547,0.043478260869565216,0.04136102501487116,46,0.2948717948717949,59868
26,26000,0.022071196223738595,0.029569892473118278,0.024654080487413823,62,0.34444444444444444,59868
27,27000,0.036833938705843804,0.05092592592592592,0.040736335166789615,36,0.27692307692307694,59868
28,28000,0.03203577505637002,0.013888888888888886,0.02433709607622651,84,0.42424242424242425,59868
29,29000,0.01440972222222222,0.019774011299435026,0.016102198455139632,59,0.3155080213903743,59868
30,30000,0.041934713121153794,0.015151515151515152,0.03232769645813124,66,0.358695652173913,59868
31,31000,0.02920211347086684,0.01633986928104575,0.02510227313536137,51,0.31875,59868
32,32000,0.032898058731392066,0.005291005291005291,0.023235590027256694,63,0.35,59868
33,33000,0.03693320163280045,0.017295597484276726,0.031307293417277435,53,0.2864864864864865,59868
34,34000,0.036430879678006116,0.032407407407407406,0.03496779885233386,71,0.35858585858585856,59868
35,35000,0.03094029376205357,0.028735632183908042,0.030174602914553927,58,0.3473053892215569,59868
36,36000,0.036540973522463265,0.0,0.02729009414968776,40,0.25316455696202533,59868
37,37000,0.020604649979649982,0.008771929824561403,0.017758805891717282,38,0.24050632911392406,59868
38,38000,0.029947373554816532,0.037037037037037035,0.032950054559051103,71,0.4176470588235294,59868
39,39000,0.03335500701439133,0.011299435028248588,0.025468469152679675,59,0.3575757575757576,59868
40,40000,0.023422077741792884,0.03763440860215053,0.028605398408511555,62,0.36470588235294116,59868
41,41000,0.0339182966633947,0.05208333333333333,0.03920267096737685,32,0.2909090909090909,59868
42,42000,0.029291702625174713,0.011574074074074073,0.022243806184957884,72,0.39779005524861877,59868
43,43000,0.03712273159639641,0.01818181818181818,0.03052937566094196,55,0.34810126582278483,59868
44,44000,0.02307096171802054,0.02333333333333333,0.023148129840171363,50,0.29411764705882354,59868
45,45000,0.03457516379019243,0.022727272727272728,0.031122798182454243,44,0.2913907284768212,59868
46,46000,0.0293789469192695,0.005291005291005291,0.02126375802846391,63,0.33689839572192515,59868
47,47000,0.03015352125584454,0.006802721088435374,0.023342871207016863,49,0.2916666666666667,59868
48,48000,0.024773033254857916,0.052083333333333336,0.03248417680642744,48,0.2823529411764706,59868
49,49000,0.025175936373993582,0.0065359477124183,0.019234439988116456,51,0.31875,59868
50,50000,0.048200609251231416,0.004975124378109453,0.031264308160592995,67,0.391812865497076,59868
51,51000,0.06891443478751592,0.042553191489361694,0.06025024992728342,47,0.32867132867132864,59868
52,52000,0.04168602178749475,0.0,0.029425427144113937,45,0.29411764705882354,59868
53,53000,0.028037154961040582,0.018518518518518517,0.024522581505340122,72,0.36923076923076925,59868
54,54000,0.019984527998893914,0.023809523809523808,0.02125952660243721,49,0.3333333333333333,59868
55,55000,0.029862098914078008,0.023391812865497075,0.02775463431539736,57,0.32571428571428573,59868
56,56000,0.03193401705087629,0.02046783625730994,0.028066725303933792,57,0.33727810650887574,59868
57,57000,0.03159259811642888,0.02619047619047619,0.02943174934604781,70,0.4,59868
58,58000,0.024457557720149684,0.006802721088435374,0.019050764001687176,48,0.3,59868
59,59000,0.02836316559720815,0.02564102564102564,0.027504237941131146,65,0.3155339805825243,59868
60,60000,0.0310150976099252,0.03333333333333333,0.03178318775924717,55,0.3313253012048193,59868
61,61000,0.026476830022338225,0.007246376811594202,0.020695125135447863,46,0.3006535947712418,59868
62,62000,0.019127651060424168,0.01366120218579235,0.017275132275132273,61,0.3388888888888889,59868
63,63000,0.03821748784984079,0.0196078431372549,0.03184774368647247,51,0.3422818791946309,59868
64,64000,0.03286876237457633,0.022727272727272724,0.02927016927392021,66,0.3548387096774194,59868
65,65000,0.03212881926964334,0.015625,0.02635699176550578,64,0.34972677595628415,59868
66,66000,0.02638542586889694,0.009433962264150943,0.021222049023773164,53,0.3045977011494253,59868
67,67000,0.04321216702169083,0.01633986928104575,0.03442699276032609,51,0.3269230769230769,59868
68,68000,0.03572283272283272,0.011494252873563218,0.02824805808848362,58,0.30851063829787234,59868
69,69000,0.047077686688225005,0.009433962264150943,0.035478166952899855,53,0.3081395348837209,59868
70,70000,0.025720074678408006,0.014619883040935672,0.021584709166408513,57,0.37254901960784315,59868
71,71000,0.02664883143855106,0.03508771929824561,0.029581859536127828,57,0.3475609756097561,59868
72,72000,0.022974320327055254,0.02564102564102564,0.023964810872244252,52,0.37142857142857144,59868
73,73000,0.025588463027487417,0.013440860215053762,0.021517374517374517,62,0.33513513513513515,59868
74,74000,0.045956607247241925,0.0,0.030270819144889893,57,0.3413173652694611,59868
75,75000,0.019365309004277118,0.0,0.014120537815618728,39,0.2708333333333333,59868
76,76000,0.022997495167306488,0.010416666666666666,0.01826118326118326,64,0.3764705882352941,59868
77,77000,0.04203833203833204,0.02011494252873563,0.03489475568127253,58,0.3258426966292135,59868
78,78000,0.030731922398589066,0.023809523809523808,0.028309082892416227,63,0.35,59868
79,79000,0.025841656379755357,0.018518518518518517,0.023282113049614323,36,0.34951456310679613,59868
80,80000,0.01722807524059375,0.0,0.011202956030768612,64,0.34972677595628415,59868
81,81000,0.036207173204353654,0.03741496598639455,0.03665214949247399,49,0.3684210526315789,59868
82,82000,0.035747693890844257,0.02032520325203252,0.031694346992182196,41,0.26282051282051283,59868
83,83000,0.03173860992868874,0.026666666666666665,0.030143659217361046,50,0.31446540880503143,59868
84,84000,0.014556136219670054,0.02222222222222222,0.017230352267071973,60,0.3488372093023256,59868
85,85000,0.03010569729672865,0.03773584905660377,0.03226825367786973,53,0.28342245989304815,59868
86,86000,0.029140230225974704,0.0326797385620915,0.03026144094114214,51,0.3167701863354037,59868
87,87000,0.03701349909333103,0.0196078431372549,0.03179180230650819,51,0.3,59868
88,88000,0.030208934583934585,0.0196078431372549,0.027047205555977484,51,0.2982456140350877,59868
89,89000,0.025138815119991297,0.016129032258064516,0.021732677696579952,62,0.3780487804878049,59868
90,90000,0.0276101429553868,0.017543859649122806,0.024153648085163622,56,0.3373493975903614,59868
91,91000,0.02965987964563816,0.005555555555555555,0.021842261021827587,60,0.32432432432432434,59868
92,92000,0.03222860791826309,0.00909090909090909,0.023266823161189356,55,0.3873239436619718,59868
93,93000,0.02748756068083799,0.011904761904761904,0.022501065072493647,55,0.3142857142857143,59868
94,94000,0.03685168961871748,0.011904761904761904,0.028776383537899488,56,0.3236994219653179,59868
95,95000,0.01687695297210254,0.011363636363636364,0.015156485377971252,44,0.3120567375886525,59868
96,96000,0.035264622138160395,0.012578616352201257,0.027933169048795548,53,0.3231707317073171,59868
97,97000,0.02450193173931801,0.023255813953488372,0.024167037584376293,43,0.26875,59868
98,98000,0.026259205354032936,0.031249999999999997,0.028033710117043448,64,0.35555555555555557,59868
99,99000,0.04570561763578389,0.023474178403755867,0.03752721252970104,70,0.3626943005181347,59868
100,100000,0.05093364920231837,0.010416666666666666,0.03611600987499432,64,0.3657142857142857,59868
101,101000,0.026867302793228718,0.02419354838709677,0.025892168833345303,62,0.36470588235294116,59868
102,102000,0.025846877989735135,0.017241379310344827,0.022784798705044105,58,0.3558282208588957,59868
103,103000,0.032052317248740116,0.03472222222222222,0.03291242086435851,48,0.3221476510067114,59868
104,104000,0.0405576814058957,0.015873015873015872,0.031671201814058955,62,0.35428571428571426,59868
105,105000,0.01586453425252307,0.03954802259887005,0.02449000223051364,59,0.36419753086419754,59868
106,106000,0.02566670933606418,0.0,0.017019636137283196,62,0.3315508021390374,59868
107,107000,0.021663722307104658,0.027777777777777776,0.023401401230348597,54,0.28421052631578947,59868
108,108000,0.02200002679549191,0.028301886792452827,0.02390859010885722,53,0.3028571428571429,59868
109,109000,0.029310122697582562,0.010869565217391304,0.023655018403657243,46,0.30666666666666664,59868
110,110000,0.03669175236228663,0.022988505747126436,0.03193254096300944,58,0.3473053892215569,59868
111,111000,0.023416329224793916,0.023809523809523808,0.02354739408637055,49,0.3333333333333333,59868
112,112000,0.03572992542089597,0.0065359477124183,0.026424345026318706,51,0.31875,59868
113,113000,0.02826073567855899,0.05384615384615385,0.03792964370701053,64,0.37209302325581395,59868
114,114000,0.04161993923278539,0.024242424242424242,0.03564641845484874,54,0.3375,59868
115,115000,0.03208851452712104,0.029239766081871343,0.03107364789350083,57,0.35625,59868
116,116000,0.022783030348893334,0.006172839506172839,0.017069971078148706,54,0.34394904458598724,59868
117,117000,0.03207721685165295,0.0,0.02291229775118067,42,0.2857142857142857,59868
118,118000,0.03691787450096266,0.033950617283950615,0.03602769733585904,54,0.3,59868
119,119000,0.03411943300015413,0.026666666666666665,0.0317904435209393,25,0.3125,59868
120,120000,0.0250377461878604,0.014619883040935672,0.021481948586814237,57,0.3413173652694611,59868
121,121000,0.03420592317289112,0.0044444444444444444,0.022989285461164983,75,0.3768844221105528,59868
122,122000,0.03520573099576281,0.03954802259887005,0.036721678951877175,58,0.3431952662721893,59868
123,123000,0.04310182127730433,0.013888888888888888,0.033795046357101184,36,0.3185840707964602,59868
124,124000,0.05630022312203163,0.04398148148148148,0.05126073790544294,72,0.4090909090909091,59868
125,125000,0.02802413013863892,0.03846153846153846,0.03145922654870712,52,0.3291139240506329,59868
126,126000,0.0330881626922525,0.03009259259259259,0.03192231919400648,72,0.3891891891891892,59868
127,127000,0.01741551459293395,0.00641025641025641,0.014163961038961038,52,0.29545454545454547,59868
128,128000,0.03271472018820139,0.021126760563380278,0.02840715404494328,71,0.3717277486910995,59868
129,129000,0.023630477073805625,0.022727272727272728,0.02339250706633588,44,0.2634730538922156,59868
130,130000,0.028750625272364404,0.0070921985815602835,0.022266892441359345,47,0.29936305732484075,59868
131,131000,0.04242993636896075,0.041666666666666664,0.04217931049656568,44,0.3283582089552239,59868
132,132000,0.044581802992329306,0.03125,0.04088280563029574,48,0.2774566473988439,59868
133,133000,0.0421441961797639,0.017676767676767676,0.0338629126864421,66,0.3384615384615385,59868
134,134000,0.03252208927211393,0.005847953216374269,0.022385917570932858,57,0.38,59868
135,135000,0.0428889460922709,0.013513513513513514,0.03138745397148758,74,0.3915343915343915,59868
136,136000,0.054841997923398396,0.014492753623188404,0.04204154800746971,46,0.31724137931034485,59868
137,137000,0.022745764972655725,0.01818181818181818,0.02130313811348294,55,0.3160919540229885,59868
138,138000,0.03781041792852817,0.0101010101010101,0.02833466188388468,66,0.34196891191709844,59868
139,139000,0.03357736133050778,0.0220125786163522,0.029673326401525327,53,0.3375796178343949,59868
140,140000,0.03429197243241413,0.006944444444444444,0.026287817899349832,48,0.2926829268292683,59868
141,141000,0.04492015019612422,0.011904761904761904,0.032080832527261106,69,0.38333333333333336,59868
142,142000,0.026334051807962302,0.019774011299435026,0.024159656358506632,59,0.33146067415730335,59868
143,143000,0.016573887964442688,0.022598870056497175,0.018616841662323233,59,0.3390804597701149,59868
144,144000,0.012295199876974005,0.020440251572327043,0.01486476975705562,53,0.31547619047619047,59868
145,145000,0.03803701854264007,0.006289308176100628,0.027110858481428447,53,0.34415584415584416,59868
146,146000,0.03544874144672532,0.015625,0.02870023372018053,64,0.3404255319148936,59868
147,147000,0.03932632559224624,0.016129032258064516,0.0313802914114768,62,0.3425414364640884,59868
148,148000,0.03667410833441368,0.019125683060109287,0.031098827387889886,61,0.3177083333333333,59868
149,149000,0.0404095518678852,0.028985507246376812,0.03595611074424634,69,0.3898305084745763,59868
150,150000,0.04490239139720901,0.00505050505050505,0.030370764331560045,66,0.36464088397790057,59868
151,151000,0.028255458360002848,0.014084507042253521,0.022665805340223943,71,0.39444444444444443,59868
152,152000,0.030541415096552938,0.029999999999999995,0.03038760398957767,50,0.2840909090909091,59868
153,153000,0.033817809794372294,0.041666666666666664,0.036540882586800945,68,0.3469387755102041,59868
154,154000,0.01547344779718166,0.011695906432748537,0.014152467074649832,57,0.3496932515337423,59868
155,155000,0.032945004113228406,0.03900709219858156,0.03479512190551151,47,0.3051948051948052,59868
156,156000,0.038442085606172294,0.02546296296296296,0.034875303811091864,36,0.2748091603053435,59868
157,157000,0.02949621880177436,0.046783625730994156,0.03546823210459574,57,0.34545454545454546,59868
