batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,batch_emissions_mg,update_emissions_mg,updated
36,36000,incremental,0.055205901458553266,0.11351351351351349,0.12404981379828278,0.5405405405405406,0.0949607235632985,0.09729729729729729,0.12542586069568487,0.6486486486486487,0.26938106938106937,58.91195984862423,0.0,False
37,37000,incremental,0.04603196870948295,0.09393939393939395,0.09662169529878079,0.45454545454545453,0.1145729182374033,0.09545454545454546,0.1210914976386215,0.696969696969697,0.2025848699152949,59.06172461466602,0.0,False
38,38000,incremental,0.06995877736745881,0.11515151515151516,0.11801564042010534,0.696969696969697,0.10274466262989848,0.10151515151515152,0.12313343971814555,0.7272727272727273,0.21455026455026452,58.72014406966847,0.0,False
39,39000,incremental,0.05206490908991064,0.07954545454545454,0.09180500694553938,0.36363636363636365,0.10510168821871702,0.07500000000000001,0.10511035528655333,0.6136363636363636,0.21011415748697626,13.372746085626217,0.0,False
40,40000,incremental,0.06063241700307918,0.09310344827586209,0.0899431656842916,0.4827586206896552,0.09964612958604462,0.08275862068965517,0.10157716065515977,0.5862068965517241,0.12415341514706307,58.682538119227566,227.34697692836787,True
41,41000,incremental,0.06843992306827883,0.09772727272727272,0.10149349082753402,0.5227272727272727,0.1149573459807053,0.0909090909090909,0.11547610051325095,0.6590909090909091,0.19617078925234005,63.93852907769738,0.0,False
42,42000,incremental,0.05284108905240125,0.12580645161290321,0.14254060319490944,0.45161290322580644,0.09240373015795193,0.09999999999999998,0.13486958228311097,0.6451612903225806,0.29543729515266515,13.532012874132443,0.0,False
43,43000,incremental,0.0691547164361007,0.11555555555555554,0.12518367310286854,0.5111111111111111,0.12342578802372159,0.09333333333333332,0.13052055092109155,0.6666666666666666,0.25034226981595403,61.5649870376136,0.0,False
44,44000,incremental,0.05848475940837659,0.08200000000000002,0.10045056950848752,0.46,0.10077790400014257,0.073,0.11039538158330256,0.6,0.23634854851031326,13.45034881377943,0.0,False
45,45000,incremental,0.059303969295897194,0.06923076923076923,0.08431431268187713,0.4807692307692308,0.09579483758848088,0.06153846153846153,0.09610395252419243,0.6153846153846154,0.20686330031337768,61.89731982497899,0.0,False
46,46000,incremental,0.05491643792315685,0.08936170212765958,0.10222920851477547,0.5106382978723404,0.10941563621955587,0.07659574468085105,0.11296261422106407,0.6595744680851063,0.23091867630353233,63.41302815796512,0.0,False
47,47000,incremental,0.07302352255669016,0.07441860465116279,0.10100861774503611,0.4883720930232558,0.11815776155115816,0.06976744186046513,0.11768666990331911,0.6511627906976745,0.23026003813947513,13.408447304722685,0.0,False
48,48000,incremental,0.053664588553623715,0.08627450980392155,0.10368690725162405,0.4117647058823529,0.10054252389006484,0.07745098039215685,0.11309498807299706,0.5490196078431373,0.2315831671481826,13.40366562750184,0.0,False
49,49000,incremental,0.0849234255719736,0.09555555555555555,0.11792746199370743,0.5555555555555556,0.14281815845553744,0.08444444444444445,0.14127367116570533,0.7777777777777778,0.2720909119928728,61.50303320776951,0.0,False
50,50000,incremental,0.0752084986155535,0.11489361702127661,0.13078739566077066,0.5957446808510638,0.11983171360242063,0.08936170212765958,0.12891376878249503,0.6808510638297872,0.2888055688867559,13.435115922475187,0.0,False
51,51000,incremental,0.06395611135378784,0.10888888888888888,0.11746758750969485,0.6,0.10057017560242563,0.08333333333333333,0.11461237181678187,0.7111111111111111,0.24631121964455302,63.99879054263744,0.0,False
