batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,id_resolution_emissions_mg,expand_embeddings_emissions_mg,scoring_emissions_mg,update_prep_emissions_mg,history_update_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,no_update,0.13487067632716723,0.11428571428571428,0.19468670988192568,0.5238095238095238,0.14805863501455946,0.12142857142857144,0.20108019888336198,0.5238095238095238,0.32222222222222224,11.728829365618926,59.39369405576187,13.650394689333577,11.72377014067741,12.002060402348594,108.49874865374038,0.0,False
2,2000,no_update,0.11862538615381699,0.22631578947368425,0.29878669558763904,0.631578947368421,0.14571578853663245,0.17105263157894737,0.25834093472444636,0.6842105263157895,0.5113617376775272,11.740398101759396,62.34241569885379,13.859335277389203,11.67014475221209,11.672978521961273,111.28527235217577,0.0,False
3,3000,no_update,0.03140921648511688,0.13157894736842105,0.13656108044725962,0.5263157894736842,0.06683061201880214,0.12894736842105262,0.14019721735847926,0.7368421052631579,0.2907400079145231,11.725397877093224,59.07226193886553,15.019898197230365,11.690262837986474,11.67090777855781,109.17872862973338,0.0,False
4,4000,no_update,0.06053038567842295,0.17407407407407405,0.21222139125159245,0.5185185185185185,0.12543652561358667,0.15925925925925924,0.20236804704543085,0.5555555555555556,0.40778727445394103,11.770363466663808,58.198627541854286,13.462001853265589,11.834328845080137,11.860707842981967,107.12602954984578,0.0,False
5,5000,no_update,0.022266215832988722,0.08108108108108109,0.09345892238114098,0.35135135135135137,0.09550477108843437,0.08513513513513513,0.11022969651024292,0.40540540540540543,0.1985010220304338,12.004366638864372,63.162697869175275,13.80576760985565,11.98661747054265,12.137421294061983,113.09687088249993,0.0,False
6,6000,no_update,0.07729397210801973,0.16562500000000002,0.17830948909266903,0.40625,0.14425437559177923,0.15625,0.1893230277345539,0.4375,0.23424479166666665,11.89917317695043,69.56196957499851,14.06261030440913,12.045242857466366,12.340610751637206,119.90960666546164,0.0,False
7,7000,no_update,0.0472817177196877,0.10454545454545454,0.12529543609803995,0.45454545454545453,0.0970299130702715,0.10454545454545455,0.13289535439988764,0.5909090909090909,0.26896167557932266,12.259200646853765,68.93380867464231,14.256607224320772,11.839916532965766,11.872292442883072,119.16182552166569,0.0,False
8,8000,no_update,0.10582220155002635,0.13548387096774192,0.1789556396898217,0.6451612903225806,0.1372264730144944,0.1161290322580645,0.17838420881334419,0.7741935483870968,0.308409332602881,12.068903415225828,66.71943146900551,13.386582965382127,11.654653921842938,11.662756928251587,115.492328699708,0.0,False
9,9000,no_update,0.040193563269010364,0.15555555555555556,0.16525665447813565,0.5555555555555556,0.05853254567373248,0.1361111111111111,0.15607538911654467,0.6666666666666666,0.28741382074715405,11.716636672595877,60.41584726159408,13.340630189743411,11.664054479085728,11.675242920960962,108.81241152398005,0.0,False
10,10000,no_update,0.06633834539157517,0.12857142857142856,0.15543905210242878,0.4523809523809524,0.12467872922581284,0.11190476190476188,0.14967210246754054,0.5238095238095238,0.25629106343392055,11.734106199195711,63.45397023893649,13.766654379870728,11.742609549728316,11.729386068285883,112.42672643601713,0.0,False
11,11000,no_update,0.08187290635517695,0.23076923076923078,0.2703350489719972,0.6923076923076923,0.12145542387157598,0.19615384615384615,0.24520273259472802,0.7307692307692307,0.47338217338217325,11.85251700188848,62.41886605042697,13.686861290922213,11.842829065916586,12.117510105659608,111.91858351481386,0.0,False
12,12000,no_update,0.06749009742051348,0.12333333333333335,0.13761890258467882,0.6666666666666666,0.13630031727664438,0.12000000000000001,0.15331488243593364,0.7666666666666667,0.28719520875867627,11.987638313365034,67.63414786743836,14.373849295895146,11.991255293322764,12.107718517212007,118.09460928723331,0.0,False
