batch,epochs_run,max_epochs,best_val_loss
20,50,50,0.3177090287208557
40,50,50,0.3362690210342407
60,50,50,0.27633365988731384
80,50,50,0.2962943911552429
100,50,50,0.32009240984916687
120,50,50,0.32215043902397156
140,50,50,0.2885066866874695
160,50,50,0.30486351251602173
