batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_users_trained
1,1000,0.03134302775133304,0.02149532710280374,0.03157621458754149,0.007575757575757575,0.002272727272727273,0.0067291343401333,0.024417465580966677,0.01589403973509934,0.024336005773727184,0.2913907284768212,44,59868
2,2000,0.024530075971373796,0.014166666666666668,0.026841565359537446,0.0,0.0,0.0,0.017214088400964066,0.009941520467836258,0.018836186217219258,0.29239766081871343,50,59868
3,3000,0.04289256413316564,0.023308270676691726,0.039016627963729636,0.004694835680751174,0.0014084507042253522,0.0019105911751048984,0.02959825668159001,0.01568627450980392,0.026102272022590637,0.3480392156862745,71,59868
4,4000,0.036068361333943304,0.02288135593220339,0.02995963957007984,0.03252032520325203,0.007317073170731709,0.019884257055268438,0.035153458935463164,0.01886792452830189,0.027361584959342312,0.2578616352201258,41,59868
5,5000,0.03687917353029739,0.019512195121951223,0.03260111144423458,0.0,0.0,0.0,0.025061537813406514,0.013259668508287295,0.02215434645105444,0.32044198895027626,58,59868
6,6000,0.030188482441585514,0.01834862385321101,0.030495197853964335,0.0,0.0,0.0,0.02043816513125976,0.012422360248447204,0.02064581718063424,0.32298136645962733,52,59868
7,7000,0.029866752401789227,0.018260869565217393,0.025262305094163204,0.0261437908496732,0.005882352941176471,0.01905741709974233,0.028722950961078887,0.014457831325301203,0.02335598408382908,0.3072289156626506,51,59868
8,8000,0.02631900526637369,0.020720720720720724,0.02291203263328408,0.0,0.0,0.0,0.018847803771403094,0.014838709677419354,0.016407971756738922,0.2838709677419355,44,59868
9,9000,0.03147865982295807,0.016666666666666666,0.030364180268925924,0.007042253521126761,0.0014084507042253522,0.0024963279828739116,0.022671630140572167,0.011167512690355331,0.02032043655161784,0.3604060913705584,71,59868
10,10000,0.04367794431101283,0.026415094339622643,0.04115786640212327,0.022058823529411766,0.0058823529411764705,0.022038339328484497,0.03522909251130667,0.01839080459770115,0.033685867315873634,0.39080459770114945,68,59868
11,11000,0.031191684607382284,0.02307692307692308,0.029578823064700957,0.0,0.0,0.0,0.02284461407864618,0.016901408450704227,0.021663363371330277,0.2676056338028169,38,59868
12,12000,0.03269442165436001,0.019090909090909092,0.03104119145331965,0.0,0.0,0.0,0.0241368213555678,0.014093959731543624,0.022916315838021218,0.26174496644295303,39,59868
13,13000,0.019924843674843675,0.014166666666666666,0.017122429317983096,0.00684931506849315,0.0013698630136986301,0.008399276613225457,0.014979177414410573,0.009326424870466322,0.013822998502193939,0.37823834196891193,73,59868
14,14000,0.04273621476562653,0.022400000000000003,0.031171018861435473,0.0,0.0,0.0,0.02739500946514521,0.014358974358974357,0.01998142234707402,0.358974358974359,70,59868
