batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained
1,1000,0.029757217847769028,0.004133858267716535,0.015606667803340453,0.0,0.0,0.0,0.02153371320037987,0.0029914529914529917,0.011293714022930132,0.27635327635327633,194,288,702,702,65679
2,2000,0.016584158415841585,0.0019801980198019802,0.00871553019508882,0.00684931506849315,0.0009132420091324202,0.0025097424234031642,0.013639502762430939,0.0016574585635359118,0.006838365109454622,0.28314917127071826,205,306,724,1369,65679
3,3000,0.03220439691027926,0.004313725490196079,0.01855497532118222,0.006329113924050633,0.0008438818565400844,0.005140959649021789,0.023994969778102306,0.0032128514056224897,0.014299122959332125,0.27710843373493976,207,320,747,2008,65679
4,4000,0.01546267629858961,0.0025490196078431374,0.006732912791890686,0.009523809523809525,0.0009523809523809524,0.002878712871921984,0.013730506822612086,0.0020833333333333333,0.0056087711485664805,0.24861111111111112,179,302,720,2602,65679
5,5000,0.021623419827012644,0.0023952095808383238,0.013438500734088735,0.006103637269556552,0.001345291479820628,0.005569271967922798,0.016843155310006137,0.0020718232044198894,0.011014691321305583,0.24585635359116023,178,319,724,3164,65679
6,6000,0.02906162464985994,0.004201680672268907,0.01579322997549973,0.003930817610062893,0.0009433962264150943,0.00252308378640318,0.021317829457364337,0.0031976744186046516,0.011704173300952537,0.24563953488372092,169,356,688,3672,65679
7,7000,0.013888888888888888,0.0020833333333333333,0.007408088128895929,0.0028877887788778876,0.0009900990099009901,0.0016463436176492965,0.01063049853372434,0.0017595307917888565,0.005701530370432849,0.2155425219941349,147,311,682,4141,65679
8,8000,0.025978407557354928,0.004251012145748988,0.01432178403639014,0.011111111111111112,0.0014285714285714288,0.00847128909073519,0.021543560606060608,0.003409090909090909,0.012576607987260114,0.21448863636363635,151,308,704,4641,65679
9,9000,0.0274781919111816,0.0032989690721649486,0.013511671200204944,0.002581120943952802,0.0008849557522123895,0.003803799893871054,0.01956435500739298,0.0025316455696202536,0.010425906199879403,0.2250351617440225,160,344,711,5099,65679
10,10000,0.016767473118279568,0.002620967741935484,0.008784244647227242,0.0,0.0,0.0,0.01189794945159752,0.0018597997138769672,0.006233169306186999,0.21602288984263232,151,305,699,5571,65679
