batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,id_resolution_emissions_mg,expand_embeddings_emissions_mg,scoring_emissions_mg,update_prep_emissions_mg,history_update_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,incremental,0.13487067632716723,0.11428571428571428,0.19468670988192568,0.5238095238095238,0.14805863501455946,0.12142857142857144,0.20108019888336198,0.5238095238095238,0.32222222222222224,11.749911569498243,55.63589505561193,13.285282669342719,11.663545420125324,11.660876031126554,103.99551074570476,0.0,False
2,2000,incremental,0.11862538615381699,0.22631578947368425,0.29878669558763904,0.631578947368421,0.14571578853663245,0.17105263157894737,0.25834093472444636,0.6842105263157895,0.5113617376775272,11.804979729261339,56.556063757869865,13.209351456857082,11.668197289782166,11.658792546516374,104.89738478028681,0.0,False
3,3000,incremental,0.03140921648511688,0.13157894736842105,0.13656108044725962,0.5263157894736842,0.06683061201880214,0.12894736842105262,0.14019721735847926,0.7368421052631579,0.2907400079145231,11.699696126786366,56.67576183435245,13.2393597006297,11.665667380561192,11.661349518047366,104.94183456037709,0.0,False
4,4000,incremental,0.06053038567842295,0.17407407407407405,0.21222139125159245,0.5185185185185185,0.12543652561358667,0.15925925925925924,0.20236804704543085,0.5555555555555556,0.40778727445394103,11.738923811014518,55.878915213203385,13.26122312654966,11.664218131210783,11.660094225676449,104.2033745076548,0.0,False
5,5000,incremental,0.022266215832988722,0.08108108108108109,0.09345892238114098,0.35135135135135137,0.09550477108843437,0.08513513513513513,0.11022969651024292,0.40540540540540543,0.1985010220304338,11.737211293902783,56.285621927913134,13.28271354885985,11.663937516158429,11.658622764255206,104.62810705108939,0.0,False
6,6000,incremental,0.07729397210801973,0.16562500000000002,0.17830948909266903,0.40625,0.14425437559177923,0.15625,0.1893230277345539,0.4375,0.23424479166666665,11.720281122822723,55.50968836318852,13.282768963750842,11.658757827851906,11.662397631380687,103.83389390899467,0.0,False
7,7000,incremental,0.0472817177196877,0.10454545454545454,0.12529543609803995,0.45454545454545453,0.0970299130702715,0.10454545454545455,0.13289535439988764,0.5909090909090909,0.26896167557932266,11.73925522389473,55.69077713573646,13.279003030537456,11.65817340890963,11.661908307795347,104.02911710687361,0.0,False
8,8000,incremental,0.10582220155002635,0.13548387096774192,0.1789556396898217,0.6451612903225806,0.1372264730144944,0.1161290322580645,0.17838420881334419,0.7741935483870968,0.308409332602881,11.736043009579335,56.25720844507846,13.241257238403204,11.65853007343415,11.66195730863313,104.55499607512829,0.0,False
9,9000,incremental,0.040193563269010364,0.15555555555555556,0.16525665447813565,0.5555555555555556,0.05853254567373248,0.1361111111111111,0.15607538911654467,0.6666666666666666,0.28741382074715405,11.726386990482617,55.99376108966108,13.215276053656511,11.658826533396306,11.66011811411672,104.25436878131325,0.0,False
10,10000,incremental,0.06633834539157517,0.12857142857142856,0.15543905210242878,0.4523809523809524,0.12467872922581284,0.11190476190476188,0.14967210246754054,0.5238095238095238,0.25629106343392055,11.808431187814273,55.69668323587417,13.265564782327612,11.658038249362555,11.662045684398713,104.09076313977732,0.0,False
