metric,mean_full_retrain,pct_vs_no_update,pct_vs_incremental
Recall@10,0.04458415081061893,-7.5807466999154585,-9.4761935638149
Precision@10,0.05214179277668873,-48.55536408742987,-48.40367211002745
NDCG@10,0.06639549617863806,-43.375743588351035,-42.97565235716876
HR@10,0.257898362707627,-30.896256275751295,-30.912054819905922
Recall@20,0.0761910833073163,-7.556074234071949,-6.80848402505889
Precision@20,0.046319858739490016,-49.86281259346508,-49.39472483990799
NDCG@20,0.07179866165474494,-39.34348369560213,-38.69510088302623
HR@20,0.3432637214468727,-23.928796885576237,-23.529524171986935
MRR,0.12227972388115424,-40.7740559568787,-39.89500801635067
