strategy,n_updates,mean_per_update_mg,total_mg,total_with_training_mg
no_update,0,0.0,0.0,188839.4
full_retrain,8,167663.2395478224,1341305.9163825791,1530145.316382579
incremental,8,216.04814982784467,1728.3851986227573,190567.78519862276
