batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,id_resolution_emissions_mg,recovered_history_seed_emissions_mg,expand_embeddings_emissions_mg,gt_split_emissions_mg,scoring_emissions_mg,history_update_emissions_mg,apply_content_seeds_emissions_mg,batch_emissions_mg,update_emissions_mg,updated
1,1000,0.03134302775133304,0.02149532710280374,0.03157621458754149,0.1588785046728972,0.0646417445482866,0.0,0.0,0.0,0.0,0.0,0.02220996006220288,0.015231788079470197,0.02237519841633735,0.11258278145695365,0.045805739514348784,44,0.2913907284768212,59868,11.695960611733593,17.83628580272125,123.77338842688667,11.659485268803946,12.353339741791714,11.66379548946648,11.657137566109967,200.63939290751364,0.0,False
2,2000,0.024530075971373796,0.014166666666666668,0.026841565359537446,0.14166666666666666,0.07045965608465607,0.0065359477124183,0.00196078431372549,0.0030671812158350096,0.0196078431372549,0.0028011204481792717,0.01916340613975549,0.010526315789473686,0.019750959562292857,0.10526315789473684,0.050280794579040194,50,0.29239766081871343,59868,11.69641361783633,19.32698758848046,127.60997808184945,11.6593501066556,12.396898232596289,11.663537984818992,11.656627169050171,206.0097927812873,0.0,False
3,3000,0.04289256413316564,0.023308270676691726,0.039016627963729636,0.18045112781954886,0.0716374269005848,0.011737089201877934,0.0028169014084507044,0.006894483303987831,0.028169014084507043,0.008802816901408451,0.03204923707374687,0.016176470588235292,0.02783686193019205,0.12745098039215685,0.04976851851851851,71,0.3480392156862745,59868,11.744036709430365,21.96705122364047,123.44952628572375,11.658206191317495,12.441644554925029,11.657212051255556,11.653639354027652,204.57131637032035,0.0,False
4,4000,0.036068361333943304,0.02288135593220339,0.02995963957007984,0.19491525423728814,0.05317460317460317,0.03252032520325203,0.007317073170731709,0.01627220621868786,0.07317073170731707,0.01524390243902439,0.035153458935463164,0.01886792452830189,0.026430175624123413,0.16352201257861634,0.04339373065788161,41,0.2578616352201258,59868,11.749591747683757,17.637220046014537,123.75284631194845,11.661371645731167,12.338602720882294,11.662175292829687,11.656567209883091,200.458374974973,0.0,False
5,5000,0.03687917353029739,0.019512195121951223,0.03260111144423458,0.18699186991869918,0.06525680732997806,0.005747126436781609,0.001724137931034483,0.008091012517633733,0.017241379310344827,0.017241379310344827,0.026903158439557526,0.013812154696132596,0.024747046594826575,0.13259668508287292,0.04987064807506797,58,0.32044198895027626,59868,11.72126077807656,20.136124743506784,125.63939577959061,11.662071939174627,12.409111767144486,11.662835175817566,11.656512587901457,204.88731277121212,452.6614885647113,True
6,6000,0.030417840239750655,0.01926605504587156,0.03155028954192797,0.1743119266055046,0.07038371923693025,0.03205128205128205,0.007692307692307693,0.02388568698813725,0.07692307692307693,0.03543956043956044,0.03094541150807135,0.01552795031055901,0.029074765735734687,0.14285714285714285,0.059097407078773534,52,0.32298136645962733,59868,11.95965045289616,20.038617467505727,133.47391702658234,11.674253410693616,12.290198827266588,11.704367150699568,11.781000698101938,212.9220050337459,0.0,False
7,7000,0.02870733211193416,0.018260869565217393,0.024624725071603987,0.16521739130434782,0.04238785369220152,0.00980392156862745,0.00196078431372549,0.0040074979919311,0.0196078431372549,0.0028011204481792717,0.022899657788388122,0.013253012048192772,0.01829051675194545,0.12048192771084337,0.03022566456301396,51,0.3072289156626506,59868,11.863644786462915,19.26853857825775,125.29407712836421,11.672795825549022,12.396342320529149,11.718279369814146,11.659528127291267,203.8732061362685,0.0,False
8,8000,0.025353754301122723,0.020720720720720724,0.023215822779070368,0.1891891891891892,0.050257400257400255,0.026515151515151512,0.00681818181818182,0.023861225051758736,0.06818181818181818,0.03598484848484848,0.02568344125220186,0.0167741935483871,0.02339903374680126,0.15483870967741936,0.0462058371735791,44,0.2838709677419355,59868,11.69865429274681,18.494921720651167,126.49163079871346,11.661391154020682,12.315521090427907,11.66105259333772,11.793652241991714,204.11682389188945,0.0,False
9,9000,0.030155908500206746,0.015873015873015876,0.029202902094793606,0.14285714285714285,0.05979780801209373,0.023474178403755867,0.007042253521126761,0.021289553652164152,0.07042253521126761,0.038184663536776214,0.027747772272551863,0.012690355329949238,0.026350883112932228,0.116751269035533,0.05200829908951736,71,0.3604060913705584,59868,11.693092147783014,21.907010744746067,129.00208174885685,11.678170186202578,12.640962315638594,11.829436889492124,11.875200608074156,210.62595464079337,0.0,False
10,10000,0.04367794431101283,0.026415094339622643,0.04106722041849122,0.2169811320754717,0.07926774483378256,0.029411764705882353,0.007352941176470588,0.01680390659583148,0.07352941176470588,0.019117647058823527,0.03810265572969747,0.01896551724137931,0.03158500582112995,0.16091954022988506,0.0557608100711549,68,0.39080459770114945,59868,11.781680770127107,22.135926160589577,129.46296174517298,11.676865752219008,12.388644271363585,11.690233713994303,11.671533568467177,210.80784598193372,462.65849466833265,True
11,11000,0.03239360768430536,0.02307692307692308,0.029721309016586237,0.20192307692307693,0.06142399267399267,0.008771929824561403,0.002631578947368421,0.0038958146179719107,0.02631578947368421,0.003289473684210526,0.02607231360916261,0.017605633802816902,0.022810261219773954,0.15492957746478872,0.04586686787391013,38,0.2676056338028169,59868,11.827532975749751,18.30402461355232,137.3488209621366,11.729229167061883,12.450164506894874,11.692340949720926,11.684447919750422,215.03656109486678,0.0,False
12,12000,0.035150019416281895,0.019090909090909092,0.03173645178884741,0.17272727272727273,0.05704184704184703,0.02564102564102564,0.005128205128205128,0.021321913579067247,0.05128205128205128,0.029914529914529916,0.032661088159671205,0.015436241610738253,0.029010498834609648,0.14093959731543623,0.049941408330670074,39,0.26174496644295303,59868,11.717461091079011,17.48272001464435,123.21170974130547,11.65919756148737,12.403308376611813,11.668378332028734,11.657806513155727,199.80058163031245,0.0,False
13,13000,0.01986171236171236,0.014166666666666668,0.017894581500821884,0.125,0.036005291005291006,0.0365296803652968,0.00958904109589041,0.01794340281740157,0.0958904109589041,0.016971080669710807,0.026166176943379013,0.012435233160621763,0.017913047594657724,0.11398963730569948,0.028805822847273628,73,0.37823834196891193,59868,11.740968313646814,21.82342782938848,126.06878211962862,11.672473723048967,12.423578950648395,11.673451090143342,11.674649615077588,207.07733164158222,0.0,False
14,14000,0.03459335762276939,0.0216,0.029223191501733733,0.192,0.05624444444444444,0.019047619047619046,0.005714285714285714,0.0222268161935886,0.05714285714285714,0.044642857142857144,0.029012836082971828,0.015897435897435898,0.0267116721603483,0.14358974358974358,0.052079772079772074,70,0.358974358974359,59868,11.693625049102874,21.72257543304936,127.70910006135605,11.698226262611168,12.480554437217968,11.68433109132068,11.675975060556656,208.66438739521473,0.0,False
15,15000,0.026803567796311257,0.018260869565217393,0.027795285698601336,0.1565217391304348,0.058623188405797104,0.025157232704402514,0.007547169811320755,0.016631542458009282,0.07547169811320754,0.023322851153039833,0.026284188273268616,0.01488095238095238,0.024273390509605034,0.13095238095238096,0.04748677248677249,53,0.31547619047619047,59868,11.788832454956086,19.503178669267456,139.1427524764727,11.693279618372847,12.352376264845866,11.687256683526673,11.66789627531431,217.83557244275596,442.19736495195673,True
16,16000,0.02450090971830102,0.011304347826086957,0.021881304409818038,0.10434782608695652,0.04293305728088337,0.03968253968253968,0.009523809523809525,0.03865806852815053,0.09523809523809523,0.06349206349206349,0.028562237479434927,0.010828025477707007,0.02636935595739743,0.10191082802547771,0.04843291881508442,42,0.267515923566879,59868,11.737266595848208,18.073997146427455,128.4636121568405,11.699454689294459,12.318136147960839,11.676938764469332,11.673486414888641,205.64289191572942,0.0,False
17,17000,0.0342087922970276,0.021568627450980395,0.03094828955260957,0.20588235294117646,0.06930438842203548,0.016025641025641024,0.0038461538461538464,0.020815883053619515,0.038461538461538464,0.038461538461538464,0.028069026932663294,0.015584415584415586,0.027526957488015525,0.14935064935064934,0.058889919604205324,52,0.33766233766233766,59868,11.750333931482768,19.312767413369457,137.09942590771698,11.685543603534576,12.352897544340262,11.670178218986527,11.664505447830063,215.53565206726063,0.0,False
18,18000,0.030614633300583713,0.02066115702479339,0.03423026296467642,0.17355371900826447,0.08301849665486029,0.03216374269005848,0.007017543859649123,0.017998054841434314,0.07017543859649122,0.018859649122807017,0.031110696419685183,0.016292134831460678,0.02903230867802024,0.1404494382022472,0.0624732477260567,57,0.3202247191011236,59868,11.753134401576437,20.345008018423336,125.5904280296153,11.661088729386302,12.428153680143355,11.66028495004634,11.654695269827652,205.09279307901872,0.0,False
19,19000,0.03742961143431731,0.024,0.03438750562924588,0.208,0.07857460317460317,0.031073446327683614,0.00847457627118644,0.02650369050951011,0.06779661016949153,0.03771186440677966,0.03539149327512499,0.019021739130434784,0.03185954317237409,0.16304347826086957,0.06547187715665977,59,0.32065217391304346,59868,11.68832767339898,20.01123248127762,124.6116038470524,11.670200246836556,12.435072601042242,11.669156706622246,11.675548062781843,203.76114161901188,0.0,False
20,20000,0.053582211290040184,0.0253968253968254,0.04164390750682776,0.20634920634920634,0.07123960695389267,0.018518518518518517,0.003703703703703704,0.0076265526006562044,0.037037037037037035,0.005401234567901234,0.04306310345858368,0.01888888888888889,0.03143870103497629,0.15555555555555556,0.051488095238095236,54,0.3,59868,11.731511915312291,19.939796629447372,136.70648850733127,11.734960907385135,12.458595835530135,11.658866002552983,11.665166404877837,215.895386202437,472.1954634648003,True
21,21000,0.031241718778826012,0.021428571428571432,0.02756226314033076,0.19642857142857142,0.05586380385487528,0.020833333333333332,0.0058823529411764705,0.020879541316960504,0.058823529411764705,0.04044117647058824,0.027309662054973222,0.01555555555555556,0.025037679340390886,0.14444444444444443,0.05003747795414463,68,0.37777777777777777,59868,11.803450130520865,21.88192422904016,127.64036651396766,11.660417984090191,12.359311118556246,11.657399093281846,11.669170993947041,208.67204006340398,0.0,False
22,22000,0.03553573020786135,0.020491803278688527,0.029700864471455233,0.16393442622950818,0.055373406193078324,0.011904761904761904,0.0035714285714285718,0.005215682418572023,0.03571428571428571,0.004336734693877551,0.02810126826980759,0.015168539325842698,0.021997661128975124,0.12359550561797752,0.039316925271981454,56,0.3146067415730337,59868,11.808936473358365,20.339922248069872,132.8757234275238,11.91643503209265,12.510762502184088,11.739019188667342,11.834731249227467,213.02553012112358,0.0,False
23,23000,0.04561422486434747,0.02358490566037736,0.034133634485277176,0.18867924528301888,0.053346810422282114,0.022727272727272728,0.00681818181818182,0.012051000910020628,0.045454545454545456,0.009090909090909092,0.038900718904138876,0.018666666666666665,0.027656061969868587,0.14666666666666667,0.04036507936507936,44,0.29333333333333333,59868,11.957709091411397,18.84699709161705,136.11709413383684,11.697933349734923,12.37794212887583,11.842410300630032,11.690753349329064,214.53083944543513,0.0,False
24,24000,0.03752738364774762,0.02192982456140351,0.03840989182716625,0.19298245614035087,0.08523043720412142,0.018018018018018018,0.005405405405405406,0.0253664176228517,0.05405405405405406,0.05405405405405406,0.03274694306297944,0.017880794701986755,0.035213808743989834,0.15894039735099338,0.07759119100178703,37,0.24503311258278146,59868,11.762574863641294,17.629015515047488,126.21589597498935,11.661669745683009,12.334969611004464,11.686787488587695,11.659591737214585,202.95050493616787,0.0,False
25,25000,0.03897966069018701,0.024545454545454547,0.038685049942466895,0.21818181818181817,0.07902236652236651,0.05072463768115942,0.013043478260869568,0.03414831764024726,0.10869565217391304,0.042753623188405795,0.042442923136242976,0.021153846153846155,0.03734729554565854,0.1858974358974359,0.06832773707773708,46,0.2948717948717949,59868,11.74283125449354,18.423855034377553,125.3418780479366,11.67596201490182,12.33134628470054,11.707402513015664,11.671912558356562,202.89518770778227,502.53876379305166,True
26,26000,0.025783350359621548,0.013559322033898306,0.01678268436048351,0.1271186440677966,0.023903685768092545,0.029569892473118278,0.008064516129032258,0.022911199428712524,0.08064516129032258,0.0359062980030722,0.02708760375427042,0.011666666666666665,0.01889361732842906,0.1111111111111111,0.028037918871252204,62,0.34444444444444444,59868,11.698930716688704,20.511971138607866,127.80854904215558,11.68384881085338,12.500865851437782,11.674079571411673,11.689795817993593,207.5680409491486,0.0,False
27,27000,0.02845224947309074,0.024468085106382976,0.03134601929787793,0.19148936170212766,0.07072779466396487,0.04166666666666666,0.011111111111111112,0.02231324269313893,0.1111111111111111,0.025264550264550264,0.032111626542081,0.02076923076923077,0.028844635007334828,0.16923076923076924,0.058137973137973135,36,0.27692307692307694,59868,11.72065942418518,16.963453534045435,128.40954538355203,11.676725652449981,12.409633987074328,11.673330483859267,11.692784463456645,204.54613292862288,0.0,False
28,28000,0.026396677312009117,0.01578947368421053,0.02771623954355434,0.13157894736842105,0.06303606237816764,0.007936507936507936,0.002380952380952381,0.004020944284916611,0.023809523809523808,0.004166666666666667,0.01856509030422074,0.010101010101010102,0.01766369003988985,0.08585858585858586,0.0380611672278339,84,0.42424242424242425,59868,11.700288798962081,23.864994897366056,141.673001436627,11.664549161174639,12.578776736134682,11.679565288051293,11.702424374629775,224.8636006929455,0.0,False
29,29000,0.01614473792582808,0.010937500000000001,0.014350147550586445,0.109375,0.02849082341269841,0.025423728813559317,0.006779661016949153,0.011062119898703496,0.06779661016949153,0.009059725585149314,0.019072333981315474,0.009625668449197862,0.013312748451864018,0.0962566844919786,0.022360156183685594,59,0.3155080213903743,59868,11.739670387693469,23.875030711825033,128.83381703422506,11.699512041638688,12.465272134581928,11.717204228390774,11.670939547583913,212.00144608593888,0.0,False
30,30000,0.03503191723530706,0.020338983050847456,0.0320032480448898,0.1864406779661017,0.0629876244283024,0.0101010101010101,0.0030303030303030303,0.008972179120177734,0.030303030303030304,0.015151515151515152,0.02608930924148315,0.014130434782608699,0.02374210375667786,0.13043478260869565,0.04582902001380262,66,0.358695652173913,59868,11.702045971787728,21.469801956615353,126.49625041467709,11.658452564188709,12.460571353326358,11.656788069398447,11.653655412462507,207.09756574245623,516.0570370817928,True
31,31000,0.029722719266701992,0.023853211009174313,0.029678880831099336,0.2018348623853211,0.06267292849861658,0.01633986928104575,0.00392156862745098,0.01508967519162831,0.0392156862745098,0.022408963585434174,0.025456935833774064,0.017499999999999998,0.025028571533517945,0.15,0.049838789682539686,51,0.31875,59868,11.74634649996932,20.15836456209681,147.95271797404982,11.66039639663441,12.323498112283907,11.663842410448988,11.676921401063481,227.18208735654673,0.0,False
32,32000,0.036104458812792145,0.026495726495726495,0.040576040899164056,0.18803418803418803,0.08538190204856871,0.010582010582010581,0.0031746031746031746,0.004636162149841798,0.031746031746031744,0.003854875283446712,0.027171601932018598,0.018333333333333333,0.02799708333690127,0.13333333333333333,0.056847442680776,63,0.35,59868,11.723621451572436,20.975274845196417,127.44450034712571,11.659322849764953,12.417228614836073,11.689323612895652,11.677126810090074,207.5863985314813,0.0,False
33,33000,0.02971744018255646,0.01590909090909091,0.028487392055765188,0.13636363636363635,0.05847763347763347,0.020440251572327043,0.0056603773584905665,0.020076248558553667,0.05660377358490566,0.04043126684636118,0.027059651013139382,0.012972972972972974,0.026077713107915398,0.11351351351351352,0.05330759330759331,53,0.2864864864864865,59868,11.712445598818789,20.330646191791743,138.46085560959878,11.764891929550227,12.693550757390467,11.693840965798854,11.668600600780316,218.32483165372915,0.0,False
34,34000,0.035747458161251265,0.023015873015873017,0.0332347246363989,0.19047619047619047,0.07333081380700429,0.025462962962962958,0.006944444444444444,0.019089775349778564,0.06944444444444445,0.028587962962962968,0.032007641725510065,0.017171717171717175,0.028091106713991502,0.14646464646464646,0.0570606862273529,71,0.35858585858585856,59868,11.74801258270984,22.11111445962928,136.37991831880885,11.659831519532718,12.515519434194712,11.664145721098155,11.664800185632803,217.74334222160638,0.0,False
35,35000,0.03209858724799926,0.01743119266055046,0.030053204163882543,0.1743119266055046,0.060776175913790594,0.02586206896551724,0.006896551724137932,0.01420777595738171,0.06896551724137931,0.016420361247947456,0.029932610838514485,0.01377245508982036,0.024550001553241534,0.1377245508982036,0.045371162437030696,58,0.3473053892215569,59868,11.740007942333957,20.55039403652155,127.33948564992367,11.674648767653895,12.393289931819304,11.719939479360939,11.683773126477949,207.10153893409128,495.91492153248237,True
36,36000,0.04235567869042445,0.027118644067796616,0.03928649058586452,0.211864406779661,0.07606941081517352,0.0,0.0,0.0,0.0,0.0,0.03163272205993725,0.020253164556962026,0.029340543602101348,0.15822784810126583,0.05681133212778782,40,0.25316455696202533,59868,11.753334772305127,18.320569574634472,136.87565022760077,11.67697868428505,12.324338765789047,11.680999258223066,11.690606357805944,214.32247764064346,0.0,False
37,37000,0.02198361823361823,0.018333333333333333,0.026495434659983032,0.16666666666666666,0.06745039682539682,0.008771929824561403,0.002631578947368421,0.005318614381593357,0.02631578947368421,0.006578947368421052,0.018806123552958996,0.014556962025316455,0.02140227535252222,0.13291139240506328,0.05281042796865581,38,0.24050632911392406,59868,11.689338123769058,17.674333441066935,127.93496715048438,11.65832532144112,12.35930848994711,11.655676659894088,11.65554975328907,204.62749893989175,0.0,False
38,38000,0.03366457472099729,0.019387755102040816,0.029974127030887972,0.1836734693877551,0.06993440233236152,0.037037037037037035,0.008333333333333335,0.020340355999006354,0.08333333333333333,0.022354497354497356,0.03509291170190824,0.014705882352941176,0.02589394165267929,0.1411764705882353,0.04978291316526611,71,0.4176470588235294,59868,11.699544589290761,22.246459966460826,127.36089496102366,11.655872729941438,12.376377300171715,11.678405098932906,11.68206951278339,208.6996241586047,0.0,False
