update_every,pct_recall,pct_precision,pct_ndcg,pct_energy
270,0.0,0.0,0.0,0.0
180,1.6684100265299424,1.561015070915878,1.6319098175737616,2.2030079228948103
134,2.7656663285709904,2.6563738794780933,2.861156563385889,3.8060733389309576
67,4.671806737348117,4.744173050620211,4.954098528294403,6.884998215369306
33,6.706352774338835,7.144426962965798,7.2065245022920665,11.214550697403066
16,8.564208431371787,9.397820435032294,9.196482649673623,20.278460644894086
9,9.824766384131852,11.157904263902156,10.88615348464792,34.054946394111155
5,10.821761791139856,12.51965324342486,12.216548786045376,56.09773650732497
2,12.121097830495364,14.805229792436725,13.711673591371449,126.09227049661654
1,12.06640106331706,15.751976189673433,14.037450813905775,259.5365414067461
