batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,update_emissions_mg,updated
402,402000,incremental,0.02080654577162957,0.01340782122905028,0.01736662025090596,0.11731843575418995,0.03342899698675249,0.011173184357541898,0.021918473872444572,0.16759776536312848,0.03780796044100954,0.0,False
403,403000,incremental,0.028449673449673446,0.013513513513513514,0.027243084436859716,0.11891891891891893,0.04536188384872595,0.011621621621621621,0.0339146217871454,0.1837837837837838,0.05794240767924978,0.0,False
404,404000,incremental,0.03457284181788658,0.01684782608695652,0.027244410365990453,0.1358695652173913,0.04690156302208731,0.011956521739130435,0.031628719151272806,0.18478260869565216,0.05008419267930137,0.0,False
405,405000,incremental,0.020372738518385322,0.015189873417721518,0.021251459992719948,0.12025316455696203,0.038488781950668724,0.014556962025316457,0.028000090359162882,0.20253164556962025,0.05135234157381158,0.0,False
406,406000,incremental,0.029055666442057988,0.01864406779661017,0.031113616437682037,0.12994350282485875,0.04799670708665364,0.015819209039548022,0.03788968143211133,0.192090395480226,0.06704068290558819,0.0,False
407,407000,incremental,0.02830744458078026,0.016167664670658683,0.025336277465575676,0.1497005988023952,0.0532414893276761,0.014970059880239524,0.03370916967041217,0.23952095808383234,0.05921416870949693,0.0,False
408,408000,incremental,0.025162511317952385,0.013872832369942198,0.026618666127334784,0.12716763005780346,0.03798412766900931,0.01069364161849711,0.031323489734788955,0.1907514450867052,0.06556599781268262,0.0,False
409,409000,incremental,0.01669605206823252,0.012,0.01662768254567945,0.11428571428571428,0.03839026103387005,0.012285714285714287,0.025208916075758363,0.21714285714285714,0.0466359298964341,0.0,False
410,410000,incremental,0.026549168440127724,0.013227513227513227,0.020955427197056453,0.13227513227513227,0.043709110203244084,0.011375661375661377,0.027803440307150557,0.20105820105820105,0.0432446023980006,0.0,False
411,411000,incremental,0.03204945868558434,0.018324607329842934,0.030099747469848448,0.16230366492146597,0.048143421441850756,0.014659685863874347,0.03690588448472667,0.2198952879581152,0.06935633125800568,0.0,False
412,412000,incremental,0.03324958032699825,0.018367346938775512,0.03280595055118726,0.15306122448979592,0.05475648546377859,0.015051020408163265,0.04125453543753699,0.21428571428571427,0.0712713231050171,0.0,False
413,413000,incremental,0.0275167488392337,0.019078947368421056,0.025993244186967534,0.125,0.03812124947561022,0.014473684210526314,0.029214125553956288,0.19078947368421054,0.049466611214767885,0.0,False
414,414000,incremental,0.024431140096462675,0.020833333333333332,0.030652800647095586,0.16666666666666666,0.03657318413366801,0.018333333333333333,0.034801918426750934,0.21666666666666667,0.0787045742928096,0.0,False
415,415000,incremental,0.031524895971098504,0.022784810126582282,0.035746637593388676,0.1962025316455696,0.05525706251972074,0.020569620253164556,0.04450315665946703,0.27848101265822783,0.09152444388659461,0.0,False
416,416000,incremental,0.028712359836585846,0.018421052631578946,0.03165299393091307,0.16447368421052633,0.052770249079266106,0.01611842105263158,0.03993237078111536,0.23026315789473684,0.07486246016625274,0.0,False
417,417000,incremental,0.033876639450409946,0.020765027322404372,0.026256330002028084,0.16393442622950818,0.04317516617796506,0.013934426229508195,0.029412259183772306,0.21311475409836064,0.04680766904159281,0.0,False
418,418000,incremental,0.02356608399279566,0.012021857923497269,0.02353029210070632,0.11475409836065574,0.04360119694483315,0.011475409836065575,0.031231634027890143,0.1912568306010929,0.05691042891215454,0.0,False
419,419000,incremental,0.037540700040700044,0.021264367816091954,0.031072100840319843,0.1839080459770115,0.05281972178523902,0.016091954022988506,0.03683638345648102,0.25862068965517243,0.06214677345575712,0.0,False
420,420000,incremental,0.016899449083966584,0.011038961038961041,0.016403197267589067,0.08441558441558442,0.037436009523273014,0.011363636363636364,0.02354725333397739,0.17532467532467533,0.04030982146709299,607.6109407376775,True
421,421000,incremental,0.020543284346411853,0.014534883720930232,0.02107901137665261,0.13372093023255813,0.035550889901330956,0.01191860465116279,0.026518896245704086,0.20930232558139536,0.05742163138618967,0.0,False
422,422000,incremental,0.027696709163499613,0.022222222222222223,0.031816303346224165,0.1568627450980392,0.05145444933511535,0.019281045751633988,0.039151651944370515,0.2549019607843137,0.07705425475033319,0.0,False
423,423000,incremental,0.03528260788447545,0.019354838709677417,0.029027408246336362,0.16129032258064516,0.0529110462259868,0.015860215053763442,0.036169497826533635,0.22043010752688172,0.0569701450219277,0.0,False
424,424000,incremental,0.02199119059284178,0.014619883040935672,0.023506948603414936,0.1111111111111111,0.04087408169291377,0.014619883040935672,0.03145932074769966,0.21052631578947367,0.05508423417350145,0.0,False
425,425000,incremental,0.022796828205207013,0.014102564102564105,0.01982351645646199,0.11538461538461539,0.03220309339115447,0.010256410256410256,0.022304480803388815,0.16666666666666666,0.03748148781043518,0.0,False
426,426000,incremental,0.022659779740704596,0.010404624277456647,0.02233413678295066,0.09826589595375723,0.04278486434492968,0.010982658959537574,0.030683846554481944,0.1791907514450867,0.05266640282612294,0.0,False
427,427000,incremental,0.030950648296274808,0.019780219780219783,0.028554396871333883,0.15934065934065933,0.05626834037220864,0.015659340659340663,0.037782174572363394,0.24725274725274726,0.06342447997667779,0.0,False
428,428000,incremental,0.022164470689820054,0.014917127071823206,0.020977076078623008,0.143646408839779,0.03312197543185518,0.011602209944751382,0.02435396917170074,0.18232044198895028,0.05180099664175063,0.0,False
429,429000,incremental,0.02854345893308901,0.014432989690721649,0.024921903210339685,0.12886597938144329,0.04972398277613469,0.01288659793814433,0.03316056751133658,0.1958762886597938,0.054914238561824015,0.0,False
430,430000,incremental,0.017239230881246438,0.012105263157894739,0.01629718545644429,0.10526315789473684,0.04483549887917649,0.012631578947368423,0.026101257134563755,0.18421052631578946,0.03857728474520067,0.0,False
431,431000,incremental,0.03287565847806812,0.018072289156626505,0.030442136917515947,0.13855421686746988,0.05498464580582526,0.01566265060240964,0.03883258646739793,0.21686746987951808,0.062157219047628984,0.0,False
432,432000,incremental,0.024790102802150996,0.014457831325301203,0.02525819703201616,0.12650602409638553,0.03667222418840142,0.012048192771084338,0.030470751655863274,0.18674698795180722,0.061519908255379556,0.0,False
433,433000,incremental,0.0247176367361607,0.016759776536312856,0.0237476817835335,0.12849162011173185,0.036747135891851114,0.013128491620111735,0.028108193288109814,0.19553072625698323,0.050036911611794424,0.0,False
